[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 257
[ENV]: Finished init Environment
[TRAIN]: actions: 257, observations: 12
[TRAIN]: CUDA: True
[TRAIN]: (1): action: 26, observation: (1, 0, 0.0, 0.2511487728551902, 0.71487189149458, 1.298611360039865, 7.480219882041653, 12.042771878799476, 7.711449370178768, 6.8030287387516815, 0.7450134115475262, 18.29698426938661), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 214, observation: (1, 5.9915180902652105, 0.5, 0.7019261668951821, 0.33965176820019627, 2.1878286651807026, 7.820237374814393, 1.2270721492770773, 2.3534890633935315, 1.2427836058103046, 10.229974956778493, 1.7929285868879241), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 92, observation: (1, 3.327749354141173, 0.5, 0.6054651448352689, 0.5616811236082674, 5.1347899338441225, 2.351298833451625, 0.7216283230154473, 3.901604564441994, 7.514165157642867, 1.9068125934736107, 6.391752106311584), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 48, observation: (1, 2.255718780989396, 0.5, 0.6024322135750458, 0.5938129568052549, 7.07487803991609, 38.9722934451829, 5.38856363714653, 27.452357924966066, 6.588785298916261, 14.65345950650271, 2.1693495801199525), rho: 0.5, reward: 0.07721912860870361 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 245, observation: (1, 4.667980955729318, 0.5, 0.9492880212753749, 0.3717040693060093, 12.131544248096422, 2.556189319267561, 17.630134393052785, 3.861906631017467, 9.517837367789527, 25.617651339460053, 5.783668611320083), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 187, observation: (1, 11.104177523699787, 0.5, 0.3741729677715856, 0.676932598175649, 13.397732426623243, 1.573937363466864, 3.9555883733975605, 0.5500696953559482, 0.6617638619270525, 7.354646390934408, 6.483039556870577), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 9, observation: (1, 2.074388974995453, 0.5, 0.4639664829011866, 0.572595478812525, 2.476147898589316, 2.428464524024309, 4.900356580423276, 6.054584581339512, 0.589790064348493, 1.4241553814551298, 6.234877309359942), rho: 0.5, reward: 0.14842142164707184 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 60, observation: (1, 2.100866497454382, 0.5, 0.3155559169793428, 0.87975343450919, 1.7448687139700134, 3.2566307543314315, 0.0933190945222341, 18.924416859622276, 19.3420673791745, 0.7336968338855155, 1.18387189598929), rho: 0.5, reward: 0.06197766959667206 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 187, observation: (1, 0.6656761561049875, 0.5, 0.27174295060218745, 0.5799681901763618, 5.056499605933885, 4.2565955529139785, 5.989879164074564, 21.114168800840403, 13.77751119251493, 15.471612897928102, 21.899681910186537), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 148, observation: (1, 5.7402645010101825, 0.5, 0.17551224076860927, 0.6267637173651353, 5.751716209845901, 19.280784610588316, 10.484748838737548, 19.29597853752537, 18.643129074834036, 2.4160639065958724, 8.597242520559341), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 190, observation: (0, 2.4334303824910117, 0.5, 0.972858180085144, 0.43401116761297776, 18.479941522193947, 1.0201159226938197, 20.868930050079328, 10.389354948756049, 5.4699530673457755, 8.387342121525796, 2.1845992505239056), rho: 0.5, reward: 6.086992263793945 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 157, observation: (0, 4.1469268648920155, 0.5, 0.7616166618889443, 0.6132734379980082, 3.56603481740073, 7.323181485018253, 7.362751536099305, 7.9770486558692095, 44.44839752766918, 0.4291490111612556, 5.3956804748836875), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 9, observation: (0, 1.7651664970438619, 0.5, 0.7169618920145174, 0.8981249762462, 9.270743398229005, 9.02459627492901, 5.105564649858, 0.06046991723026626, 8.46186635799357, 1.5687262550270733, 9.42051212409931), rho: 0.5, reward: 4.091720104217529 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 211, observation: (0, 4.36738694740594, 0.5, 0.5244803448685317, 0.15145700974712728, 10.684173763744997, 0.22106535304596442, 2.6470539701773133, 9.91878377156476, 15.154548926243912, 14.402472765591952, 4.652160706943993), rho: 0.5, reward: 5.595580101013184 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 51, observation: (0, 3.425074108824908, 0.5, 0.5718408889568846, 0.48455377297071367, 4.422595879993821, 5.7250227728184235, 44.36830795843078, 3.1954217663181463, 2.5141060187863817, 3.195740008264978, 4.773056801168406), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 53, observation: (0, 2.016863211460783, 0.5, 0.5293441377521291, 0.07879926464997833, 27.893594418217226, 4.087696649323801, 6.938060641492706, 5.151539894931386, 20.149591998226942, 2.8090798600613693, 17.358620099504257), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 156, observation: (0, 0.8289827565405398, 0.5, 0.21202353240695038, 0.7333097500535253, 16.525689723257944, 23.455374554417816, 2.1699416043244875, 0.7755925368452765, 11.180694125377942, 9.130926560613846, 5.222125743407706), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 101, observation: (0, 1.8681977669551588, 0.5, 0.9961694093773861, 0.3147245671351818, 28.29487327350715, 0.5623659759009889, 13.821176877931647, 3.8029059094131497, 3.7636715719205727, 0.10090955645487702, 1.3271736993713117), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 8, observation: (0, 0.23039487148113047, 0.24601987148113047, 0.4426362731957679, 0.10307433567351698, 0.7439254011548574, 2.67246783755138, 0.34950720341036245, 10.001582542196292, 11.589106452603806, 4.857312292058214, 2.6174946212618706), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 231, observation: (0, 1.1458618983614914, 0.5, 0.26362315964627936, 0.734538587778745, 1.5370301488735996, 8.825970813627409, 3.049094575393933, 23.684747595775022, 2.192598699854664, 3.8837813902377345, 7.770614362315104), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1/2000): reward: 2.0619106888771057, rho: 0.5, rates: 0.8030955344438553
[TRAIN]: SAVE MODEL: best_reward: 0.10309553444385529
[TRAIN]: (2): action: 30, observation: (1, 0, 0.0, 0.6266593370554131, 0.6715216471094939, 0.8775581622482695, 29.376267170769495, 4.234224898614875, 10.111950402072189, 29.616126664738122, 29.042040949059942, 6.9428487722693655), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 210, observation: (1, 10.45051565875877, 0.5, 0.47423503226703945, 0.9760796408414529, 6.227712948419728, 1.741631185157804, 1.3825174512459648, 0.2997316365331749, 3.9031528926179186, 16.951079252520845, 20.543464076653745), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 248, observation: (1, 12.705884734346418, 0.5, 0.8326398218443715, 0.7216616485401907, 18.413997880596185, 29.820768248939093, 25.839105607169284, 1.7758681031866779, 23.878876074713272, 25.29837066987181, 0.06097354813942875), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 237, observation: (1, 9.50354868173966, 0.5, 0.2512005778642502, 0.9997867078044318, 15.340443060578444, 14.30261422308051, 24.84646373912428, 1.5409913574783012, 3.2403428226942443, 4.26899765583795, 17.38467042611), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 106, observation: (1, 7.976296918631135, 0.5, 0.7007720799470717, 0.5616404256475174, 7.8515528424702055, 1.5527656678934763, 3.5860695474181274, 2.335711436366908, 33.04937419795327, 4.600220571101303, 10.13678126269207), rho: 0.5, reward: 0.009472194127738476 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 37, observation: (1, 4.13933424518973, 0.5, 0.16614488437928054, 0.7940040091073374, 11.060910867804623, 1.3422672668281497, 0.6824411364034911, 8.975372881836668, 6.004838996410751, 7.332570157440924, 22.4334693330807), rho: 0.5, reward: 0.26046887040138245 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 2, observation: (1, 8.161009621731537, 0.5, 0.7445894016365148, 0.25501195101718777, 9.729849729545428, 11.17223703421068, 0.7072545104752737, 12.066522919040752, 3.304102105497998, 14.83897822836032, 2.164970295316816), rho: 0.5, reward: 1.518576979637146 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 145, observation: (1, 4.985041117781949, 0.5, 0.9066024534130788, 0.3851246449078517, 11.501570131319443, 15.388501945588917, 2.1006733011429937, 7.217212972381997, 3.503223308478253, 0.6623073466170819, 5.184485794740091), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 12, observation: (1, 0.3272854877249485, 0.5, 0.8045063847447079, 0.8420103792689544, 5.554933052148334, 1.9045263076277195, 24.644176669839037, 1.692286114806628, 4.1169823704422095, 10.283340198383868, 11.25614731767369), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
