[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 257
[ENV]: Finished init Environment
[TRAIN_RISK_AVERSE]: CUDA: True
[TRAIN]: (1/1600): reward: -10.302695117890835, rate: 6.697304725646973, td_error: -0.6192425906658172, rho: 20
[TRAIN]: (2/1600): reward: -0.7037420459091663, rate: 12.296257972717285, td_error: -0.5146457374095916, rho: 20
[TRAIN]: (3/1600): reward: -2.8936913907527924, rate: 11.106307983398438, td_error: -0.5326481524854898, rho: 20
[TRAIN]: (4/1600): reward: -20.0, rate: 0, td_error: -0.7007065176963806, rho: 20
[TRAIN]: (5/1600): reward: 10.9971853941679, rate: 22.99718475341797, td_error: -0.5031665933318437, rho: 20
[TRAIN]: (6/1600): reward: -7.006818771362305, rate: 9.993181228637695, td_error: -0.47701551467180253, rho: 20
[TRAIN]: (7/1600): reward: -3.6468727439641953, rate: 10.353126525878906, td_error: -0.43750086817890405, rho: 20
[TRAIN]: (8/1600): reward: 28.644235402345657, rate: 39.64423370361328, td_error: -0.25935760848224165, rho: 20
[TRAIN]: (9/1600): reward: -0.04376578703522682, rate: 11.956233978271484, td_error: -0.489499095082283, rho: 20
[TRAIN]: (10/1600): reward: -0.7686195820569992, rate: 15.231380462646484, td_error: -0.5218747321516275, rho: 20
[TRAIN]: (11/1600): reward: -3.008313126862049, rate: 10.991686820983887, td_error: -0.44554329179227353, rho: 20
[TRAIN]: (12/1600): reward: 1.0013211369514465, rate: 16.00132179260254, td_error: -0.5194967856630683, rho: 20
[TRAIN]: (13/1600): reward: 15.123172871768475, rate: 26.123172760009766, td_error: -0.5301320077851415, rho: 20
[TRAIN]: (14/1600): reward: -5.392584037035704, rate: 9.607416152954102, td_error: -0.44575870912522075, rho: 20
[TRAIN]: (15/1600): reward: 1.6307484209537506, rate: 16.630748748779297, td_error: -0.3521124832332134, rho: 20
[TRAIN]: (16/1600): reward: -13.757105186581612, rate: 4.242894649505615, td_error: -0.6684297680854797, rho: 20
[TRAIN]: (17/1600): reward: 0.2765399366617203, rate: 14.276540756225586, td_error: -0.4501827735453844, rho: 20
[TRAIN]: (18/1600): reward: -2.8287996351718903, rate: 13.171199798583984, td_error: -0.5964496430009604, rho: 20
[TRAIN]: (19/1600): reward: -7.314641408622265, rate: 6.68535852432251, td_error: -0.6528256669640541, rho: 20
[TRAIN]: (20/1600): reward: -16.617848966270685, rate: 0.3821510374546051, td_error: -0.6001711919903755, rho: 20
[TRAIN]: (21/1600): reward: -1.7248339541256428, rate: 13.275165557861328, td_error: -0.620815946161747, rho: 20
[TRAIN]: (22/1600): reward: -9.890360783785582, rate: 5.1096391677856445, td_error: -0.5210114810615778, rho: 20
[TRAIN]: (23/1600): reward: 1.1101296842098236, rate: 16.11012840270996, td_error: -0.3806257227435708, rho: 20
[TRAIN]: (24/1600): reward: 5.41058598831296, rate: 18.410585403442383, td_error: -0.4928482076153159, rho: 20
[TRAIN]: (25/1600): reward: 7.936005383729935, rate: 20.936006546020508, td_error: -0.486748400516808, rho: 20
[TRAIN]: (26/1600): reward: -8.4869996458292, rate: 7.51300048828125, td_error: -0.5855970047414303, rho: 20
[TRAIN]: (27/1600): reward: 1.9702653884887695, rate: 17.970264434814453, td_error: -0.29515836844220755, rho: 20
[TRAIN]: (28/1600): reward: -12.700239300727844, rate: 5.299760818481445, td_error: -0.5390567444264889, rho: 20
[TRAIN]: (29/1600): reward: -0.7346688210964203, rate: 14.265331268310547, td_error: -0.5868269298225641, rho: 20
[TRAIN]: (30/1600): reward: 6.798745632171631, rate: 22.798744201660156, td_error: -0.41699990993365643, rho: 20
[TRAIN]: (31/1600): reward: -1.3971592783927917, rate: 12.602840423583984, td_error: -0.6740003934130072, rho: 20
[TRAIN]: (32/1600): reward: -14.01816701889038, rate: 4.981832981109619, td_error: -0.7419245481491089, rho: 20
[TRAIN]: (33/1600): reward: -8.130537636578083, rate: 6.869462490081787, td_error: -0.49670893847942355, rho: 20
[TRAIN]: (34/1600): reward: 10.537235736846924, rate: 24.537235260009766, td_error: -0.26597815472632647, rho: 20
[TRAIN]: (35/1600): reward: -17.463119223713875, rate: 0.5368807911872864, td_error: -0.6182704567909241, rho: 20
[TRAIN]: (36/1600): reward: 23.10087300464511, rate: 32.10087203979492, td_error: -0.31129752481356265, rho: 20
[TRAIN]: (37/1600): reward: -18.95582853630185, rate: 0.04417146369814873, td_error: -0.6182704567909241, rho: 20
[TRAIN]: (38/1600): reward: -15.588493898510933, rate: 1.4115060567855835, td_error: -0.3821898505091667, rho: 20
[TRAIN]: (39/1600): reward: 15.098538532853127, rate: 26.09853744506836, td_error: -0.44363372018560765, rho: 20
[TRAIN]: (40/1600): reward: -2.965197069570422, rate: 11.03480339050293, td_error: -0.6483279358595609, rho: 20
[TRAIN]: (41/1600): reward: -4.474641501903534, rate: 10.525358200073242, td_error: -0.509650387428701, rho: 20
[TRAIN]: (42/1600): reward: -17.14702558517456, rate: 1.8529744148254395, td_error: -0.5869509793817997, rho: 20
[TRAIN]: (43/1600): reward: -7.602582111954689, rate: 8.397418022155762, td_error: -0.6116388708353042, rho: 20
[TRAIN]: (44/1600): reward: -0.7521551996469498, rate: 14.247844696044922, td_error: -0.5234783784486353, rho: 20
[TRAIN]: (45/1600): reward: 6.722307182382792, rate: 18.722307205200195, td_error: -0.29614438833668827, rho: 20
[TRAIN]: (46/1600): reward: 2.2534834146499634, rate: 16.253482818603516, td_error: -0.37820422388613223, rho: 20
[TRAIN]: (47/1600): reward: -3.2832255363464355, rate: 12.716773986816406, td_error: -0.7647462692111731, rho: 20
[TRAIN]: (48/1600): reward: -7.512688145041466, rate: 9.487312316894531, td_error: -0.6418033188208938, rho: 20
[TRAIN]: (49/1600): reward: 1.4388022869825363, rate: 17.43880271911621, td_error: -0.6009443023242056, rho: 20
[TRAIN]: (50/1600): reward: 1.2767293453216553, rate: 16.276729583740234, td_error: -0.6120624418370426, rho: 20
