[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 64
[ENV]: Finished init Environment
[TRAIN]: actions: 64, observations: 12
[TRAIN]: CUDA: False
[TRAIN]: (1/1600): reward: -3.0302228927612305, rates: 7.9697771072387695, loss: 0, rho: 0.4000000000000001
[TRAIN]: (2/1600): reward: 0.07995530962944031, rates: 10.07995530962944, loss: 0, rho: 0.4000000000000001
[TRAIN]: (3/1600): reward: -7.7239089012146, rates: 4.2760910987854, loss: 0, rho: 0.4000000000000001
[TRAIN]: (4/1600): reward: -9.28943955898285, rates: 0.7105604410171509, loss: 1.92838832210092, rho: 0.4000000000000001
[TRAIN]: (5/1600): reward: -8.943630993366241, rates: 0.056369006633758545, loss: 1.5431965351104737, rho: 0.4000000000000001
[TRAIN]: (6/1600): reward: -13.384324669837952, rates: 1.6156753301620483, loss: 1.288396406173706, rho: 0.4000000000000001
[TRAIN]: (7/1600): reward: -6.121673107147217, rates: 4.878326892852783, loss: 1.0630765929818153, rho: 0.4000000000000001
[TRAIN]: (8/1600): reward: 1.5638028122484684, rates: 9.563802812248468, loss: 1.0062337324023247, rho: 0.4000000000000001
[TRAIN]: (9/1600): reward: -11.0, rates: 0, loss: 1.0127485871315003, rho: 0.4000000000000001
[TRAIN]: (10/1600): reward: -14.0, rates: 0, loss: 0.9687062233686448, rho: 0.4000000000000001
[TRAIN]: (11/1600): reward: -15.0, rates: 0, loss: 0.8637160003185272, rho: 0.4000000000000001
[TRAIN]: (12/1600): reward: -11.0, rates: 0, loss: 0.6355523645877839, rho: 0.4000000000000001
[TRAIN]: (13/1600): reward: -5.857479952275753, rates: 4.142520047724247, loss: 0.6792468309402466, rho: 0.4000000000000001
[TRAIN]: (14/1600): reward: 4.813984394073486, rates: 15.813984394073486, loss: 0.7256611630320549, rho: 0.4000000000000001
[TRAIN]: (15/1600): reward: -11.0, rates: 0, loss: 1.0500431016087532, rho: 0.4000000000000001
[TRAIN]: (16/1600): reward: -4.297115594148636, rates: 5.702884405851364, loss: 0.7541507005691528, rho: 0.4000000000000001
[TRAIN]: (17/1600): reward: -8.036206543445587, rates: 0.9637934565544128, loss: 0.9275278553366662, rho: 0.4000000000000001
[TRAIN]: (18/1600): reward: -8.936586536467075, rates: 0.06341346353292465, loss: 0.8757665410637856, rho: 0.4000000000000001
