[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 64, [(0.0, 0.125, 0.4), (0.0, 0.6875, 0.4), (1.0, 0.25, 0.4), (1.0, 0.5625, 0.4), (0.0, 0.5, 0.4), (1.0, 0.75, 0.4), (0.0, 0.3125, 0.4), (0.0, 0.59375, 0.4), (0.0, 0.96875, 0.4), (0.0, 0.21875, 0.4), (0.0, 0.71875, 0.4), (1.0, 0.125, 0.4), (0.0, 0.46875, 0.4), (1.0, 0.875, 0.4), (0.0, 0.28125, 0.4), (0.0, 0.375, 0.4), (1.0, 0.40625, 0.4), (0.0, 0.15625, 0.4), (0.0, 1.0, 0.4), (1.0, 0.4375, 0.4), (0.0, 0.78125, 0.4), (0.0, 0.03125, 0.4), (1.0, 0.0625, 0.4), (1.0, 1.0, 0.4), (0.0, 0.84375, 0.4), (1.0, 0.15625, 0.4), (1.0, 0.9375, 0.4), (1.0, 0.65625, 0.4), (1.0, 0.59375, 0.4), (0.0, 0.40625, 0.4), (1.0, 0.8125, 0.4), (0.0, 0.65625, 0.4), (0.0, 0.9375, 0.4), (1.0, 0.46875, 0.4), (0.0, 0.0625, 0.4), (1.0, 0.53125, 0.4), (0.0, 0.5625, 0.4), (1.0, 0.3125, 0.4), (0.0, 0.90625, 0.4), (1.0, 0.09375, 0.4), (1.0, 0.90625, 0.4), (1.0, 0.03125, 0.4), (0.0, 0.8125, 0.4), (1.0, 0.28125, 0.4), (0.0, 0.875, 0.4), (1.0, 0.84375, 0.4), (1.0, 0.375, 0.4), (1.0, 0.1875, 0.4), (0.0, 0.09375, 0.4), (1.0, 0.78125, 0.4), (0.0, 0.4375, 0.4), (1.0, 0.21875, 0.4), (0.0, 0.53125, 0.4), (0.0, 0.625, 0.4), (1.0, 0.71875, 0.4), (1.0, 0.34375, 0.4), (1.0, 0.625, 0.4), (1.0, 0.5, 0.4), (0.0, 0.34375, 0.4), (1.0, 0.6875, 0.4), (0.0, 0.75, 0.4), (1.0, 0.96875, 0.4), (0.0, 0.1875, 0.4), (0.0, 0.25, 0.4)]
[ENV]: Finished init Environment
[TRAIN]: actions: 64, observations: 12
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -3.0302228927612305, rates: 7.9697771072387695, loss: 0, rho: 0.4000000000000001
[TRAIN]: (2/1600): reward: 0.07995530962944031, rates: 10.07995530962944, loss: 0, rho: 0.4000000000000001
[TRAIN]: (3/1600): reward: -7.7239089012146, rates: 4.2760910987854, loss: 0, rho: 0.4000000000000001
[TRAIN]: (4/1600): reward: -9.28943955898285, rates: 0.7105604410171509, loss: 1.8212896585464478, rho: 0.4000000000000001
[TRAIN]: (5/1600): reward: -8.943630993366241, rates: 0.056369006633758545, loss: 1.47145576775074, rho: 0.4000000000000001
[TRAIN]: (6/1600): reward: -13.384324669837952, rates: 1.6156753301620483, loss: 1.2371385455131532, rho: 0.4000000000000001
[TRAIN]: (7/1600): reward: -6.121673107147217, rates: 4.878326892852783, loss: 1.054881575703621, rho: 0.4000000000000001
[TRAIN]: (8/1600): reward: 1.5638028122484684, rates: 9.563802812248468, loss: 1.0015187039971352, rho: 0.4000000000000001
[TRAIN]: (9/1600): reward: -11.0, rates: 0, loss: 1.031101556122303, rho: 0.4000000000000001
[TRAIN]: (10/1600): reward: -14.0, rates: 0, loss: 0.9997555792331696, rho: 0.4000000000000001
[TRAIN]: (11/1600): reward: -16.0, rates: 0, loss: 0.8929207772016525, rho: 0.4000000000000001
[TRAIN]: (12/1600): reward: -11.0, rates: 0, loss: 0.6576687097549438, rho: 0.4000000000000001
[TRAIN]: (13/1600): reward: -5.857479952275753, rates: 4.142520047724247, loss: 0.7017418831586838, rho: 0.4000000000000001
[TRAIN]: (14/1600): reward: 4.813984394073486, rates: 15.813984394073486, loss: 0.7043818712234498, rho: 0.4000000000000001
[TRAIN]: (15/1600): reward: -12.0, rates: 0, loss: 0.9947539553046226, rho: 0.4000000000000001
[TRAIN]: (16/1600): reward: -4.297115594148636, rates: 5.702884405851364, loss: 0.7401697710156441, rho: 0.4000000000000001
[TRAIN]: (17/1600): reward: -8.036206543445587, rates: 0.9637934565544128, loss: 0.9265770748257637, rho: 0.4000000000000001
[TRAIN]: (18/1600): reward: -8.936586536467075, rates: 0.06341346353292465, loss: 0.8603633053600788, rho: 0.4000000000000001
[TRAIN]: (19/1600): reward: -7.074815034866333, rates: 2.925184965133667, loss: 0.7620124310255051, rho: 0.4000000000000001
[TRAIN]: (20/1600): reward: -7.144277572631836, rates: 4.855722427368164, loss: 0.6671449601650238, rho: 0.4000000000000001
