[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 64, [(0.0, 0.125, 0.4), (0.0, 0.6875, 0.4), (1.0, 0.25, 0.4), (1.0, 0.5625, 0.4), (0.0, 0.5, 0.4), (1.0, 0.75, 0.4), (0.0, 0.3125, 0.4), (0.0, 0.59375, 0.4), (0.0, 0.96875, 0.4), (0.0, 0.21875, 0.4), (0.0, 0.71875, 0.4), (1.0, 0.125, 0.4), (0.0, 0.46875, 0.4), (1.0, 0.875, 0.4), (0.0, 0.28125, 0.4), (0.0, 0.375, 0.4), (1.0, 0.40625, 0.4), (0.0, 0.15625, 0.4), (0.0, 1.0, 0.4), (1.0, 0.4375, 0.4), (0.0, 0.78125, 0.4), (0.0, 0.03125, 0.4), (1.0, 0.0625, 0.4), (1.0, 1.0, 0.4), (0.0, 0.84375, 0.4), (1.0, 0.15625, 0.4), (1.0, 0.9375, 0.4), (1.0, 0.65625, 0.4), (1.0, 0.59375, 0.4), (0.0, 0.40625, 0.4), (1.0, 0.8125, 0.4), (0.0, 0.65625, 0.4), (0.0, 0.9375, 0.4), (1.0, 0.46875, 0.4), (0.0, 0.0625, 0.4), (1.0, 0.53125, 0.4), (0.0, 0.5625, 0.4), (1.0, 0.3125, 0.4), (0.0, 0.90625, 0.4), (1.0, 0.09375, 0.4), (1.0, 0.90625, 0.4), (1.0, 0.03125, 0.4), (0.0, 0.8125, 0.4), (1.0, 0.28125, 0.4), (0.0, 0.875, 0.4), (1.0, 0.84375, 0.4), (1.0, 0.375, 0.4), (1.0, 0.1875, 0.4), (0.0, 0.09375, 0.4), (1.0, 0.78125, 0.4), (0.0, 0.4375, 0.4), (1.0, 0.21875, 0.4), (0.0, 0.53125, 0.4), (0.0, 0.625, 0.4), (1.0, 0.71875, 0.4), (1.0, 0.34375, 0.4), (1.0, 0.625, 0.4), (1.0, 0.5, 0.4), (0.0, 0.34375, 0.4), (1.0, 0.6875, 0.4), (0.0, 0.75, 0.4), (1.0, 0.96875, 0.4), (0.0, 0.1875, 0.4), (0.0, 0.25, 0.4)]
[ENV]: Finished init Environment
[TRAIN_RISK_AVERSE]: CUDA: True
[TRAIN]: (1/1600): reward: -3.0302228927612305, rate: 7.9697771072387695, td_error: -0.5257776472717524, rho: 0.4
[TRAIN]: (2/1600): reward: 0.07995530962944031, rate: 10.0799560546875, td_error: -0.46124776229262354, rho: 0.4
[TRAIN]: (3/1600): reward: -7.7239089012146, rate: 4.2760910987854, td_error: -0.5842925857752561, rho: 0.4
[TRAIN]: (4/1600): reward: -12.9537981338799, rate: 0.04620186612010002, td_error: -0.5866094008088112, rho: 0.4
[TRAIN]: (5/1600): reward: -6.856550861150026, rate: 5.143449306488037, td_error: -0.48778139650821684, rho: 0.4
[TRAIN]: (6/1600): reward: 0.5425854846835136, rate: 11.542585372924805, td_error: -0.5095353245735168, rho: 0.4
[TRAIN]: (7/1600): reward: 3.7469468116760254, rate: 10.746946334838867, td_error: -0.3022396149113774, rho: 0.4
[TRAIN]: (8/1600): reward: -9.680524826049805, rate: 2.3194751739501953, td_error: -0.2639293633401394, rho: 0.4
[TRAIN]: (9/1600): reward: 3.45453017950058, rate: 12.454530715942383, td_error: -0.4635462226811796, rho: 0.4
[TRAIN]: (10/1600): reward: -7.755596272647381, rate: 4.244403839111328, td_error: -0.47895950078964233, rho: 0.4
[TRAIN]: (11/1600): reward: -7.91471004486084, rate: 4.08528995513916, td_error: -0.4742044050246477, rho: 0.4
[TRAIN]: (12/1600): reward: -14.0, rate: 0, td_error: -0.553398334980011, rho: 0.4
[TRAIN]: (13/1600): reward: -9.0, rate: 0, td_error: -0.5635262131690979, rho: 0.4
[TRAIN]: (14/1600): reward: -8.668327450752258, rate: 0.3316725492477417, td_error: -0.4635262131690979, rho: 0.4
[TRAIN]: (15/1600): reward: -14.0, rate: 0, td_error: -0.423126620054245, rho: 0.4
[TRAIN]: (16/1600): reward: -6.687747955322266, rate: 5.312252044677734, td_error: -0.5564997367560863, rho: 0.4
[TRAIN]: (17/1600): reward: -8.097757577896118, rate: 2.902242422103882, td_error: -0.5621803045272827, rho: 0.4
[TRAIN]: (18/1600): reward: -7.117956638336182, rate: 3.8820433616638184, td_error: -0.5443581648170948, rho: 0.4
[TRAIN]: (19/1600): reward: -0.006555914878845215, rate: 7.993443965911865, td_error: -0.5203360609710217, rho: 0.4
[TRAIN]: (20/1600): reward: -11.79848499596119, rate: 0.20151500403881073, td_error: -0.5209622740745544, rho: 0.4
[TRAIN]: (21/1600): reward: -9.557388603687286, rate: 0.4426113963127136, td_error: -0.5745073601603508, rho: 0.4
[TRAIN]: (22/1600): reward: -15.0, rate: 0, td_error: -0.553398334980011, rho: 0.4
[TRAIN]: (23/1600): reward: -6.004994601011276, rate: 6.9950056076049805, td_error: -0.4058374248445034, rho: 0.4
[TRAIN]: (24/1600): reward: -6.482276439666748, rate: 5.517723560333252, td_error: -0.4166944056749344, rho: 0.4
[TRAIN]: (25/1600): reward: 8.171188533306122, rate: 16.171188354492188, td_error: -0.43095927592366934, rho: 0.4
[TRAIN]: (26/1600): reward: 2.356477737426758, rate: 12.356477737426758, td_error: -0.48393556938972326, rho: 0.4
[TRAIN]: (27/1600): reward: -13.0, rate: 0, td_error: -0.2898721218109131, rho: 0.4
[TRAIN]: (28/1600): reward: -3.806829258799553, rate: 5.193170547485352, td_error: -0.38968605883419516, rho: 0.4
[TRAIN]: (29/1600): reward: -13.0, rate: 0, td_error: -0.6033983349800109, rho: 0.4
[TRAIN]: (30/1600): reward: -3.1086008548736572, rate: 7.891399383544922, td_error: -0.3984546745195985, rho: 0.4
[TRAIN]: (31/1600): reward: -12.0, rate: 0, td_error: -0.6297442436218261, rho: 0.4
[TRAIN]: (32/1600): reward: -12.0, rate: 0, td_error: -0.5959622740745545, rho: 0.4
[TRAIN]: (33/1600): reward: -13.0, rate: 0, td_error: -0.4871803045272827, rho: 0.4
[TRAIN]: (34/1600): reward: -0.9695838540792465, rate: 7.030416011810303, td_error: -0.3131687592715025, rho: 0.4
[TRAIN]: (35/1600): reward: 6.723036170005798, rate: 16.72303581237793, td_error: -0.4400342030450702, rho: 0.4
[TRAIN]: (36/1600): reward: -9.0, rate: 0, td_error: -0.4223081827163696, rho: 0.4
[TRAIN]: (37/1600): reward: -12.0, rate: 0, td_error: -0.553398334980011, rho: 0.4
