[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 66
[ENV]: Finished init Environment
[TRAIN]: actions: 66, observations: 216
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -12.25136049091816, rates: 0.2519610524177551, loss: 0, rho: 0.4000000000000001
[TRAIN]: (2/1600): reward: -12.01019910350442, rates: 1.8487104177474976, loss: 0, rho: 0.4000000000000001
[TRAIN]: (3/1600): reward: -6.818290509283543, rates: 5.5855172872543335, loss: 0, rho: 0.4000000000000001
[TRAIN]: (4/1600): reward: 5.109194234013557, rates: 13.55363865941763, loss: 0.905196231954238, rho: 0.4000000000000001
[TRAIN]: (5/1600): reward: -2.2702050656080246, rates: 7.9231808334589005, loss: 1.119732055068016, rho: 0.4000000000000001
[TRAIN]: (6/1600): reward: -2.6366128996014595, rates: 7.406771294772625, loss: 1.1304096192121507, rho: 0.4000000000000001
[TRAIN]: (7/1600): reward: -5.816917508840561, rates: 4.81550820171833, loss: 0.8749308407306671, rho: 0.4000000000000001
[TRAIN]: (8/1600): reward: -8.542492687702179, rates: 2.4273767918348312, loss: 0.7186794742941857, rho: 0.4000000000000001
[TRAIN]: (9/1600): reward: -1.9734743684530258, rates: 8.693886876106262, loss: 0.6354541525244712, rho: 0.4000000000000001
[TRAIN]: (10/1600): reward: -9.10389482229948, rates: 0.6068093255162239, loss: 0.5960711061954498, rho: 0.4000000000000001
[TRAIN]: (11/1600): reward: -6.6653802171349525, rates: 4.220125652849674, loss: 0.5146168246865273, rho: 0.4000000000000001
[TRAIN]: (12/1600): reward: -3.631648540496826, rates: 6.44978266954422, loss: 0.524811352789402, rho: 0.4000000000000001
[TRAIN]: (13/1600): reward: -7.828874230384827, rates: 3.569520965218544, loss: 0.4040789924561977, rho: 0.4000000000000001
[TRAIN]: (14/1600): reward: -4.705586761236191, rates: 6.790448307991028, loss: 0.4278032034635544, rho: 0.4000000000000001
[TRAIN]: (15/1600): reward: -9.053432881832123, rates: 1.1504807323217392, loss: 0.37505084052681925, rho: 0.4000000000000001
[TRAIN]: (16/1600): reward: -7.284058094024658, rates: 3.7345030605793, loss: 0.3904373649507761, rho: 0.4000000000000001
[TRAIN]: (17/1600): reward: -6.601679182611406, rates: 6.241354250349104, loss: 0.35808041542768476, rho: 0.4000000000000001
[TRAIN]: (18/1600): reward: -10.964776411652565, rates: 2.7768887281417847, loss: 0.38106497600674627, rho: 0.4000000000000001
[TRAIN]: (19/1600): reward: -7.787303984165192, rates: 7.3758368492126465, loss: 0.3570958890020847, rho: 0.4000000000000001
[TRAIN]: (20/1600): reward: -8.495508193969727, rates: 2.502368226647377, loss: 0.3666724644601345, rho: 0.4000000000000001
[TRAIN]: (21/1600): reward: -8.223649099469185, rates: 1.2949556559324265, loss: 0.40998840406537057, rho: 0.4000000000000001
[TRAIN]: (22/1600): reward: -9.78994956612587, rates: 2.0689599812030792, loss: 0.3443350404500961, rho: 0.4000000000000001
[TRAIN]: (23/1600): reward: 3.205698311328888, rates: 14.049198120832443, loss: 0.4219959929585457, rho: 0.4000000000000001
[TRAIN]: (24/1600): reward: -6.245570749044418, rates: 5.326810836791992, loss: 0.3635856151580811, rho: 0.4000000000000001
[TRAIN]: (25/1600): reward: 0.3536549583077431, rates: 11.128402628004551, loss: 0.3807076759636402, rho: 0.4000000000000001
[TRAIN]: (26/1600): reward: 0.19946850836277008, rates: 8.544818058609962, loss: 0.35936693996191027, rho: 0.4000000000000001
[TRAIN]: (27/1600): reward: -10.73720607161522, rates: 1.050929069519043, loss: 0.49994859993457796, rho: 0.4000000000000001
[TRAIN]: (28/1600): reward: -11.267976753413677, rates: 0.10669294744729996, loss: 0.4631337195634842, rho: 0.4000000000000001
[TRAIN]: (29/1600): reward: -11.866549521684647, rates: 0.21427203714847565, loss: 0.4945704132318497, rho: 0.4000000000000001
[TRAIN]: (30/1600): reward: 6.62202887237072, rates: 16.412091970443726, loss: 0.3588708102703094, rho: 0.4000000000000001
[TRAIN]: (31/1600): reward: -7.958614911884069, rates: 4.244212154299021, loss: 0.39192330464720726, rho: 0.4000000000000001
[TRAIN]: (32/1600): reward: -8.726219087839127, rates: 3.6627537608146667, loss: 0.41139761358499527, rho: 0.4000000000000001
[TRAIN]: (33/1600): reward: 5.243048757314682, rates: 14.631937593221664, loss: 0.382710512727499, rho: 0.4000000000000001
