[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 66, [(0.0, 0.09375, 0.4), (0.0, 0.6875, 0.4), (1.0, 0.09375, 0.4), (1.0, 0.59375, 0.4), (0.0, 0.46875, 0.4), (0.0, 0.5625, 0.4), (0.0, 0.28125, 0.4), (1.0, 0.6875, 0.4), (0.0, 0.375, 0.4), (0.0, 0.1875, 0.4), (1.0, 0.0625, 0.4), (1.0, 0.5, 0.4), (0.0, 0.4375, 0.4), (1.0, 0.0, 0.4), (0.0, 0.25, 0.4), (1.0, 0.96875, 0.4), (0.0, 0.8125, 0.4), (1.0, 0.25, 0.4), (0.0, 0.125, 0.4), (0.0, 0.65625, 0.4), (1.0, 0.8125, 0.4), (1.0, 0.34375, 0.4), (0.0, 0.0, 0.4), (1.0, 0.1875, 0.4), (1.0, 1.0, 0.4), (0.0, 0.96875, 0.4), (1.0, 0.78125, 0.4), (0.0, 0.15625, 0.4), (1.0, 0.71875, 0.4), (0.0, 0.9375, 0.4), (1.0, 0.375, 0.4), (1.0, 0.40625, 0.4), (0.0, 0.75, 0.4), (0.0, 0.625, 0.4), (0.0, 0.90625, 0.4), (1.0, 0.75, 0.4), (0.0, 0.03125, 0.4), (1.0, 0.53125, 0.4), (0.0, 0.53125, 0.4), (1.0, 0.46875, 0.4), (0.0, 0.875, 0.4), (1.0, 0.03125, 0.4), (1.0, 0.90625, 0.4), (0.0, 1.0, 0.4), (0.0, 0.78125, 0.4), (1.0, 0.21875, 0.4), (0.0, 0.84375, 0.4), (1.0, 0.84375, 0.4), (1.0, 0.3125, 0.4), (1.0, 0.125, 0.4), (0.0, 0.0625, 0.4), (1.0, 0.875, 0.4), (0.0, 0.40625, 0.4), (1.0, 0.15625, 0.4), (0.0, 0.5, 0.4), (0.0, 0.59375, 0.4), (1.0, 0.65625, 0.4), (1.0, 0.28125, 0.4), (1.0, 0.5625, 0.4), (1.0, 0.4375, 0.4), (1.0, 0.9375, 0.4), (1.0, 0.625, 0.4), (0.0, 0.71875, 0.4), (0.0, 0.3125, 0.4), (0.0, 0.34375, 0.4), (0.0, 0.21875, 0.4)]
[ENV]: Finished init Environment
[TRAIN]: actions: 66, observations: 11
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -8.717289388179779, rates: 0.28271061182022095, loss: 0, rho: 0.4000000000000001
[TRAIN]: (2/1600): reward: -9.610361576080322, rates: 5.389638423919678, loss: 0, rho: 0.4000000000000001
[TRAIN]: (3/1600): reward: -3.1466126441955566, rates: 5.853387355804443, loss: 0, rho: 0.4000000000000001
[TRAIN]: (4/1600): reward: -1.0237278118729591, rates: 8.97627218812704, loss: 1.6871271764530855, rho: 0.4000000000000001
[TRAIN]: (5/1600): reward: 1.8271222114562988, rates: 9.827122211456299, loss: 1.8985980927944184, rho: 0.4000000000000001
[TRAIN]: (6/1600): reward: 7.688687205314636, rates: 16.688687205314636, loss: 2.2048772901296614, rho: 0.4000000000000001
[TRAIN]: (7/1600): reward: -5.355181895196438, rates: 1.6448181048035622, loss: 2.158772897720337, rho: 0.4000000000000001
[TRAIN]: (8/1600): reward: -13.0, rates: 0, loss: 1.6926146775484086, rho: 0.4000000000000001
[TRAIN]: (9/1600): reward: 1.5225377082824707, rates: 8.52253770828247, loss: 1.7245430380105973, rho: 0.4000000000000001
[TRAIN]: (10/1600): reward: -3.8553967028856277, rates: 5.144603297114372, loss: 1.5626017957925797, rho: 0.4000000000000001
[TRAIN]: (11/1600): reward: -10.891890101134777, rates: 0.10810989886522293, loss: 1.5378127217292785, rho: 0.4000000000000001
[TRAIN]: (12/1600): reward: -7.600187301635742, rates: 6.399812698364258, loss: 1.499354387819767, rho: 0.4000000000000001
[TRAIN]: (13/1600): reward: -8.849712580442429, rates: 0.1502874195575714, loss: 1.3850787043571473, rho: 0.4000000000000001
[TRAIN]: (14/1600): reward: 1.7135076522827148, rates: 10.713507652282715, loss: 1.038512332737446, rho: 0.4000000000000001
[TRAIN]: (15/1600): reward: -10.0, rates: 0, loss: 1.164476992189884, rho: 0.4000000000000001
[TRAIN]: (16/1600): reward: -4.968802839517593, rates: 4.031197160482407, loss: 1.118401402235031, rho: 0.4000000000000001
[TRAIN]: (17/1600): reward: -10.165207862854004, rates: 2.834792137145996, loss: 1.037201388180256, rho: 0.4000000000000001
[TRAIN]: (18/1600): reward: -9.869374081492424, rates: 0.130625918507576, loss: 1.1006658628582955, rho: 0.4000000000000001
[TRAIN]: (19/1600): reward: 1.3905720710754395, rates: 11.39057207107544, loss: 0.9161914214491844, rho: 0.4000000000000001
