[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 66, [(0.0, 0.09375, 0.4), (0.0, 0.6875, 0.4), (1.0, 0.09375, 0.4), (1.0, 0.59375, 0.4), (0.0, 0.46875, 0.4), (0.0, 0.5625, 0.4), (0.0, 0.28125, 0.4), (1.0, 0.6875, 0.4), (0.0, 0.375, 0.4), (0.0, 0.1875, 0.4), (1.0, 0.0625, 0.4), (1.0, 0.5, 0.4), (0.0, 0.4375, 0.4), (1.0, 0.0, 0.4), (0.0, 0.25, 0.4), (1.0, 0.96875, 0.4), (0.0, 0.8125, 0.4), (1.0, 0.25, 0.4), (0.0, 0.125, 0.4), (0.0, 0.65625, 0.4), (1.0, 0.8125, 0.4), (1.0, 0.34375, 0.4), (0.0, 0.0, 0.4), (1.0, 0.1875, 0.4), (1.0, 1.0, 0.4), (0.0, 0.96875, 0.4), (1.0, 0.78125, 0.4), (0.0, 0.15625, 0.4), (1.0, 0.71875, 0.4), (0.0, 0.9375, 0.4), (1.0, 0.375, 0.4), (1.0, 0.40625, 0.4), (0.0, 0.75, 0.4), (0.0, 0.625, 0.4), (0.0, 0.90625, 0.4), (1.0, 0.75, 0.4), (0.0, 0.03125, 0.4), (1.0, 0.53125, 0.4), (0.0, 0.53125, 0.4), (1.0, 0.46875, 0.4), (0.0, 0.875, 0.4), (1.0, 0.03125, 0.4), (1.0, 0.90625, 0.4), (0.0, 1.0, 0.4), (0.0, 0.78125, 0.4), (1.0, 0.21875, 0.4), (0.0, 0.84375, 0.4), (1.0, 0.84375, 0.4), (1.0, 0.3125, 0.4), (1.0, 0.125, 0.4), (0.0, 0.0625, 0.4), (1.0, 0.875, 0.4), (0.0, 0.40625, 0.4), (1.0, 0.15625, 0.4), (0.0, 0.5, 0.4), (0.0, 0.59375, 0.4), (1.0, 0.65625, 0.4), (1.0, 0.28125, 0.4), (1.0, 0.5625, 0.4), (1.0, 0.4375, 0.4), (1.0, 0.9375, 0.4), (1.0, 0.625, 0.4), (0.0, 0.71875, 0.4), (0.0, 0.3125, 0.4), (0.0, 0.34375, 0.4), (0.0, 0.21875, 0.4)]
[ENV]: Finished init Environment
[TRAIN_RISK_AVERSE_DQN]: CUDA: True
[TRAIN]: (1/1600): reward: -56.81168508529663, rate: 0.18831489007532062, loss: 0.0, rho: 0.4
[TRAIN]: (2/1600): reward: -73.16055476665497, rate: 0.8394452273659974, loss: 0.0, rho: 0.4
[TRAIN]: (3/1600): reward: -46.05071213841438, rate: 0.9492877579110073, loss: 0.0, rho: 0.4
[TRAIN]: (4/1600): reward: -31.561752021312714, rate: 4.4382479433579105, loss: 23.1420841217041, rho: 0.4
[TRAIN]: (5/1600): reward: -46.093361258506775, rate: 0.9066386792570618, loss: 7.689530372619629, rho: 0.4
[TRAIN]: (6/1600): reward: -42.90110218524933, rate: 2.098897774882728, loss: 2.9028351306915283, rho: 0.4
[TRAIN]: (7/1600): reward: -34.00611385703087, rate: 1.9938861223820212, loss: 1.2404602766036987, rho: 0.4
[TRAIN]: (8/1600): reward: -57.011959075927734, rate: 0.9880409907295628, loss: 0.8223932385444641, rho: 0.4
[TRAIN]: (9/1600): reward: -23.772781670093536, rate: 3.2272182373487706, loss: 0.5908359289169312, rho: 0.4
[TRAIN]: (10/1600): reward: -45.23687335848808, rate: 1.7631267024646522, loss: 0.7560308575630188, rho: 0.4
[TRAIN]: (11/1600): reward: -64.26938980817795, rate: 0.7306101316001925, loss: 0.9786279797554016, rho: 0.4
[TRAIN]: (12/1600): reward: -63.926798701286316, rate: 1.0732012551298935, loss: 0.947901725769043, rho: 0.4
[TRAIN]: (13/1600): reward: -40.66453868150711, rate: 0.3354612997393637, loss: 0.6347092986106873, rho: 0.4
[TRAIN]: (14/1600): reward: -38.55391728878021, rate: 2.446082689165709, loss: 0.9314166307449341, rho: 0.4
[TRAIN]: (15/1600): reward: -38.895794451236725, rate: 1.1042054709905598, loss: 0.5471231341362, rho: 0.4
[TRAIN]: (16/1600): reward: -44.218656450510025, rate: 1.7813435088442986, loss: 0.5122319459915161, rho: 0.4
[TRAIN]: (17/1600): reward: -63.16162699460983, rate: 0.8383729938866742, loss: 0.46569910645484924, rho: 0.4
[TRAIN]: (18/1600): reward: -48.313293397426605, rate: 0.6867066501435122, loss: 0.4377870261669159, rho: 0.4
[TRAIN]: (19/1600): reward: -45.118874073028564, rate: 1.881125954218077, loss: 0.598354160785675, rho: 0.4
[TRAIN]: (20/1600): reward: -48.45187836885452, rate: 1.5481215793897303, loss: 0.6383768916130066, rho: 0.4
[TRAIN]: (21/1600): reward: -53.62505728006363, rate: 0.3749427117640883, loss: 0.6770983338356018, rho: 0.4
[TRAIN]: (22/1600): reward: -50.199310913681984, rate: 0.8006890845261956, loss: 0.6948265433311462, rho: 0.4
[TRAIN]: (23/1600): reward: -70.84462803602219, rate: 1.1553720737169684, loss: 0.6480913758277893, rho: 0.4
[TRAIN]: (24/1600): reward: -52.80518262088299, rate: 1.1948173695461008, loss: 0.7768587470054626, rho: 0.4
[TRAIN]: (25/1600): reward: -65.05600881576538, rate: 0.9439910605049265, loss: 0.6393479704856873, rho: 0.4
[TRAIN]: (26/1600): reward: -44.89630699157715, rate: 1.10369305608592, loss: 0.5485450625419617, rho: 0.4
[TRAIN]: (27/1600): reward: -54.360716819763184, rate: 0.6392832743956083, loss: 0.5531401038169861, rho: 0.4
[TRAIN]: (28/1600): reward: -49.099825128912926, rate: 1.9001748976903934, loss: 0.5878164172172546, rho: 0.4
[TRAIN]: (29/1600): reward: -50.56810414791107, rate: 0.4318957272604813, loss: 0.7086157202720642, rho: 0.4
[TRAIN]: (30/1600): reward: -31.6860930621624, rate: 3.3139070237332837, loss: 0.509731113910675, rho: 0.4
[TRAIN]: (31/1600): reward: -49.58647108078003, rate: 0.41352884288350367, loss: 0.5312814116477966, rho: 0.4
[TRAIN]: (32/1600): reward: -51.659967720508575, rate: 0.34003229347879393, loss: 0.508435070514679, rho: 0.4
[TRAIN]: (33/1600): reward: -58.89264392852783, rate: 0.10735601656896519, loss: 0.4879487156867981, rho: 0.4
[TRAIN]: (34/1600): reward: -39.03376144170761, rate: 1.9662386185857466, loss: 0.4932888448238373, rho: 0.4
[TRAIN]: (35/1600): reward: -56.453971803188324, rate: 0.5460281560541616, loss: 0.5769566893577576, rho: 0.4
[TRAIN]: (36/1600): reward: -48.71148592233658, rate: 2.28851395421374, loss: 0.6250057220458984, rho: 0.4
[TRAIN]: (37/1600): reward: -38.710609287023544, rate: 2.2893908817567237, loss: 0.5141813158988953, rho: 0.4
[TRAIN]: (38/1600): reward: -56.09604263305664, rate: 1.9039574852287036, loss: 0.3228357136249542, rho: 0.4
[TRAIN]: (39/1600): reward: -41.22261641919613, rate: 2.7773835474754693, loss: 0.5548795461654663, rho: 0.4
[TRAIN]: (40/1600): reward: -55.0, rate: 0.0, loss: 0.41163140535354614, rho: 0.4
[TRAIN]: (41/1600): reward: -50.62469291687012, rate: 2.375307031871758, loss: 0.5444160103797913, rho: 0.4
[TRAIN]: (42/1600): reward: -44.640917643904686, rate: 3.3590824029677693, loss: 0.5768715739250183, rho: 0.4
[TRAIN]: (43/1600): reward: -50.358455181121826, rate: 0.6415448285422611, loss: 0.5013854503631592, rho: 0.4
[TRAIN]: (44/1600): reward: -59.373950481414795, rate: 0.6260494054507528, loss: 0.5676136016845703, rho: 0.4
[TRAIN]: (45/1600): reward: -57.643046855926514, rate: 0.356953251446985, loss: 0.46119317412376404, rho: 0.4
[TRAIN]: (46/1600): reward: -37.24658536911011, rate: 2.75341456896113, loss: 0.6376582980155945, rho: 0.4
[TRAIN]: (47/1600): reward: -51.813185431063175, rate: 3.186814626347063, loss: 0.5696242451667786, rho: 0.4
[TRAIN]: (48/1600): reward: -48.2736781835556, rate: 0.7263217922037056, loss: 0.5832508206367493, rho: 0.4
[TRAIN]: (49/1600): reward: -66.51705861091614, rate: 0.48294142761384284, loss: 0.5197293162345886, rho: 0.4
[TRAIN]: (50/1600): reward: -70.45388406515121, rate: 1.5461159478426074, loss: 0.6776350736618042, rho: 0.4
[TRAIN]: (51/1600): reward: -62.06131646037102, rate: 2.938683480385389, loss: 0.68306565284729, rho: 0.4
[TRAIN]: (52/1600): reward: -65.56555414199829, rate: 1.4344459044850546, loss: 0.5517899394035339, rho: 0.4
[TRAIN]: (53/1600): reward: -49.04408347606659, rate: 0.9559165421012242, loss: 0.5898827910423279, rho: 0.4
[TRAIN]: (54/1600): reward: -45.22951352596283, rate: 1.7704864328530368, loss: 0.5308206081390381, rho: 0.4
[TRAIN]: (55/1600): reward: -33.2499341070652, rate: 2.750066010295467, loss: 0.6176146864891052, rho: 0.4
[TRAIN]: (56/1600): reward: -62.55200970172882, rate: 0.4479902974041528, loss: 0.6799384951591492, rho: 0.4
[TRAIN]: (57/1600): reward: -66.24389171600342, rate: 0.7561082659297165, loss: 0.601966917514801, rho: 0.4
[TRAIN]: (58/1600): reward: -51.711952805519104, rate: 1.2880470980006298, loss: 0.6458034515380859, rho: 0.4
[TRAIN]: (59/1600): reward: -38.464558497071266, rate: 2.5354414583655664, loss: 0.6513948440551758, rho: 0.4
[TRAIN]: (60/1600): reward: -58.91253221035004, rate: 1.0874678452570599, loss: 0.6388065814971924, rho: 0.4
[TRAIN]: (61/1600): reward: -64.04390531778336, rate: 0.9560947079072797, loss: 0.5972356200218201, rho: 0.4
