[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 66, [(0.0, 0.09375, 0.4), (0.0, 0.6875, 0.4), (1.0, 0.09375, 0.4), (1.0, 0.59375, 0.4), (0.0, 0.46875, 0.4), (0.0, 0.5625, 0.4), (0.0, 0.28125, 0.4), (1.0, 0.6875, 0.4), (0.0, 0.375, 0.4), (0.0, 0.1875, 0.4), (1.0, 0.0625, 0.4), (1.0, 0.5, 0.4), (0.0, 0.4375, 0.4), (1.0, 0.0, 0.4), (0.0, 0.25, 0.4), (1.0, 0.96875, 0.4), (0.0, 0.8125, 0.4), (1.0, 0.25, 0.4), (0.0, 0.125, 0.4), (0.0, 0.65625, 0.4), (1.0, 0.8125, 0.4), (1.0, 0.34375, 0.4), (0.0, 0.0, 0.4), (1.0, 0.1875, 0.4), (1.0, 1.0, 0.4), (0.0, 0.96875, 0.4), (1.0, 0.78125, 0.4), (0.0, 0.15625, 0.4), (1.0, 0.71875, 0.4), (0.0, 0.9375, 0.4), (1.0, 0.375, 0.4), (1.0, 0.40625, 0.4), (0.0, 0.75, 0.4), (0.0, 0.625, 0.4), (0.0, 0.90625, 0.4), (1.0, 0.75, 0.4), (0.0, 0.03125, 0.4), (1.0, 0.53125, 0.4), (0.0, 0.53125, 0.4), (1.0, 0.46875, 0.4), (0.0, 0.875, 0.4), (1.0, 0.03125, 0.4), (1.0, 0.90625, 0.4), (0.0, 1.0, 0.4), (0.0, 0.78125, 0.4), (1.0, 0.21875, 0.4), (0.0, 0.84375, 0.4), (1.0, 0.84375, 0.4), (1.0, 0.3125, 0.4), (1.0, 0.125, 0.4), (0.0, 0.0625, 0.4), (1.0, 0.875, 0.4), (0.0, 0.40625, 0.4), (1.0, 0.15625, 0.4), (0.0, 0.5, 0.4), (0.0, 0.59375, 0.4), (1.0, 0.65625, 0.4), (1.0, 0.28125, 0.4), (1.0, 0.5625, 0.4), (1.0, 0.4375, 0.4), (1.0, 0.9375, 0.4), (1.0, 0.625, 0.4), (0.0, 0.71875, 0.4), (0.0, 0.3125, 0.4), (0.0, 0.34375, 0.4), (0.0, 0.21875, 0.4)]
[ENV]: Finished init Environment
[TRAIN]: actions: 66, observations: 11
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -8.717289388179779, rates: 0.2827106194849325, loss: 0, rho: 0.4000000000000001
[TRAIN]: (2/1600): reward: -9.610361576080322, rates: 5.389638531128261, loss: 0, rho: 0.4000000000000001
[TRAIN]: (3/1600): reward: -3.1466126441955566, rates: 5.853387578008257, loss: 0, rho: 0.4000000000000001
[TRAIN]: (4/1600): reward: -1.0237278118729591, rates: 8.976272216859751, loss: 1.620483629843768, rho: 0.4000000000000001
[TRAIN]: (5/1600): reward: 1.8271222114562988, rates: 9.827122378272017, loss: 1.8267999768257142, rho: 0.4000000000000001
[TRAIN]: (6/1600): reward: 7.688687205314636, rates: 16.68868710506295, loss: 2.1481200248003005, rho: 0.4000000000000001
[TRAIN]: (7/1600): reward: -5.355181895196438, rates: 1.6448181069437253, loss: 2.128770411014557, rho: 0.4000000000000001
[TRAIN]: (8/1600): reward: -13.0, rates: 0, loss: 1.719680482149124, rho: 0.4000000000000001
[TRAIN]: (9/1600): reward: 1.5225377082824707, rates: 8.522537829823781, loss: 1.7400801301002502, rho: 0.4000000000000001
[TRAIN]: (10/1600): reward: -3.8553967028856277, rates: 5.1446030725197565, loss: 1.5741344809532165, rho: 0.4000000000000001
[TRAIN]: (11/1600): reward: -10.891890101134777, rates: 0.10810990158224723, loss: 1.5239933907985688, rho: 0.4000000000000001
[TRAIN]: (12/1600): reward: -7.600187301635742, rates: 6.399812637479416, loss: 1.4952902778983117, rho: 0.4000000000000001
[TRAIN]: (13/1600): reward: -8.849712580442429, rates: 0.15028742179506135, loss: 1.3847968973219396, rho: 0.4000000000000001
[TRAIN]: (14/1600): reward: 1.7135076522827148, rates: 10.713507407384952, loss: 1.0716927886009215, rho: 0.4000000000000001
[TRAIN]: (15/1600): reward: -10.0, rates: 0, loss: 1.126177129149437, rho: 0.4000000000000001
[TRAIN]: (16/1600): reward: -4.968802839517593, rates: 4.031197187784784, loss: 1.1154710277915, rho: 0.4000000000000001
[TRAIN]: (17/1600): reward: -10.165207862854004, rates: 2.8347921497520425, loss: 1.0407510221004486, rho: 0.4000000000000001
[TRAIN]: (18/1600): reward: -9.869374081492424, rates: 0.1306259175088997, loss: 1.069935604929924, rho: 0.4000000000000001
[TRAIN]: (19/1600): reward: 1.3905720710754395, rates: 11.39057200790624, loss: 0.9404724597930908, rho: 0.4000000000000001
[TRAIN]: (20/1600): reward: -10.94529901817441, rates: 0.054700982637729254, loss: 0.9009970858693123, rho: 0.4000000000000001
