[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 257
[ENV]: Finished init Environment
[TRAIN]: actions: 257, observations: 12
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -10.302695117890835, rates: 6.697304882109165, loss: 0, rho: 0.4000000000000001
[TRAIN]: (2/1600): reward: -0.7037420459091663, rates: 12.296257954090834, loss: 0, rho: 0.4000000000000001
[TRAIN]: (3/1600): reward: -2.8936913907527924, rates: 11.106308609247208, loss: 0, rho: 0.4000000000000001
[TRAIN]: (4/1600): reward: -20.0, rates: 0, loss: 2.5453843299080345, rho: 0.4000000000000001
[TRAIN]: (5/1600): reward: -5.489934332668781, rates: 8.510065667331219, loss: 2.1561345040798185, rho: 0.4000000000000001
[TRAIN]: (6/1600): reward: -0.9379332661628723, rates: 14.062066733837128, loss: 2.2980111598968507, rho: 0.4000000000000001
[TRAIN]: (7/1600): reward: -8.356588423252106, rates: 8.643411576747894, loss: 2.4687378823757173, rho: 0.4000000000000001
[TRAIN]: (8/1600): reward: -17.605557918548584, rates: 0.394442081451416, loss: 2.0241558372974398, rho: 0.4000000000000001
[TRAIN]: (9/1600): reward: 3.6105396896600723, rates: 18.610539689660072, loss: 1.9742199808359147, rho: 0.4000000000000001
[TRAIN]: (10/1600): reward: 13.54652589559555, rates: 25.54652589559555, loss: 2.382737195491791, rho: 0.4000000000000001
[TRAIN]: (11/1600): reward: -14.797283448278904, rates: 2.202716551721096, loss: 2.5217351615428925, rho: 0.4000000000000001
[TRAIN]: (12/1600): reward: 1.6450241152197123, rates: 14.645024115219712, loss: 2.3703950464725496, rho: 0.4000000000000001
[TRAIN]: (13/1600): reward: 12.133680786937475, rates: 24.133680786937475, loss: 2.4491345465183256, rho: 0.4000000000000001
[TRAIN]: (14/1600): reward: 13.657374367117882, rates: 25.65737436711788, loss: 2.917564696073532, rho: 0.4000000000000001
[TRAIN]: (15/1600): reward: 6.177342474460602, rates: 19.177342474460602, loss: 3.1140168786048887, rho: 0.4000000000000001
[TRAIN]: (16/1600): reward: 0.5348308980464935, rates: 15.534830898046494, loss: 2.9785242676734924, rho: 0.4000000000000001
[TRAIN]: (17/1600): reward: 3.0078715428244323, rates: 17.007871542824432, loss: 2.5257490158081053, rho: 0.4000000000000001
[TRAIN]: (18/1600): reward: -14.469868384301662, rates: 1.5301316156983376, loss: 2.6723458498716353, rho: 0.4000000000000001
[TRAIN]: (19/1600): reward: -12.544049859046936, rates: 4.455950140953064, loss: 2.6002681076526644, rho: 0.4000000000000001
[TRAIN]: (20/1600): reward: -8.789572715759277, rates: 9.210427284240723, loss: 2.197351413965225, rho: 0.4000000000000001
[TRAIN]: (21/1600): reward: -3.8434351347386837, rates: 9.156564865261316, loss: 2.358643877506256, rho: 0.4000000000000001
[TRAIN]: (22/1600): reward: 0.01443357765674591, rates: 14.014433577656746, loss: 2.1556913807988165, rho: 0.4000000000000001
[TRAIN]: (23/1600): reward: -13.097359597682953, rates: 4.902640402317047, loss: 1.8880749225616456, rho: 0.4000000000000001
[TRAIN]: (24/1600): reward: -14.695556540042162, rates: 1.304443459957838, loss: 2.290963238477707, rho: 0.4000000000000001
[TRAIN]: (25/1600): reward: 6.685858942568302, rates: 18.685858942568302, loss: 2.1309468388557433, rho: 0.4000000000000001
[TRAIN]: (26/1600): reward: -6.88493771944195, rates: 8.11506228055805, loss: 2.0933767020702363, rho: 0.4000000000000001
[TRAIN]: (27/1600): reward: -13.225433960556984, rates: 4.774566039443016, loss: 1.9833134710788727, rho: 0.4000000000000001
[TRAIN]: (28/1600): reward: -10.044036850333214, rates: 5.955963149666786, loss: 2.2020430862903595, rho: 0.4000000000000001
[TRAIN]: (29/1600): reward: -13.98415994644165, rates: 5.01584005355835, loss: 2.2299414932727815, rho: 0.4000000000000001
[TRAIN]: (30/1600): reward: -9.92797839269042, rates: 6.07202160730958, loss: 2.253331309556961, rho: 0.4000000000000001
[TRAIN]: (31/1600): reward: -3.4803211390972137, rates: 10.519678860902786, loss: 1.8994121253490448, rho: 0.4000000000000001
[TRAIN]: (32/1600): reward: 5.137182578444481, rates: 19.13718257844448, loss: 1.6408405244350432, rho: 0.4000000000000001
[TRAIN]: (33/1600): reward: -9.206925064325333, rates: 5.793074935674667, loss: 1.9674482464790344, rho: 0.4000000000000001
[TRAIN]: (34/1600): reward: 20.383766770362854, rates: 32.383766770362854, loss: 1.7233729183673858, rho: 0.4000000000000001
[TRAIN]: (35/1600): reward: -18.8696086704731, rates: 0.13039132952690125, loss: 2.050884413719177, rho: 0.4000000000000001
[TRAIN]: (36/1600): reward: 1.5077618509531021, rates: 16.507761850953102, loss: 1.9952459007501602, rho: 0.4000000000000001
[TRAIN]: (37/1600): reward: -12.309073716402054, rates: 5.690926283597946, loss: 1.9591504693031312, rho: 0.4000000000000001
[TRAIN]: (38/1600): reward: -3.7698287963867188, rates: 13.230171203613281, loss: 1.8943200707435608, rho: 0.4000000000000001
[TRAIN]: (39/1600): reward: -17.343908429145813, rates: 0.656091570854187, loss: 2.010323220491409, rho: 0.4000000000000001
[TRAIN]: (40/1600): reward: -9.802218496799469, rates: 6.197781503200531, loss: 1.859968587756157, rho: 0.4000000000000001
[TRAIN]: (41/1600): reward: -2.099308133125305, rates: 11.900691866874695, loss: 1.7203086376190186, rho: 0.4000000000000001
[TRAIN]: (42/1600): reward: -15.22361096739769, rates: 1.7763890326023102, loss: 1.8278892248868943, rho: 0.4000000000000001
[TRAIN]: (43/1600): reward: 4.557828146964312, rates: 17.55782814696431, loss: 1.6511240899562836, rho: 0.4000000000000001
[TRAIN]: (44/1600): reward: -3.3388071432709694, rates: 11.66119285672903, loss: 1.9298728823661804, rho: 0.4000000000000001
[TRAIN]: (45/1600): reward: -10.882873691618443, rates: 5.1171263083815575, loss: 1.854197633266449, rho: 0.4000000000000001
[TRAIN]: (46/1600): reward: -8.596597172319889, rates: 7.403402827680111, loss: 2.079891473054886, rho: 0.4000000000000001
[TRAIN]: (47/1600): reward: 8.572784781455994, rates: 20.572784781455994, loss: 1.9106882989406586, rho: 0.4000000000000001
[TRAIN]: (48/1600): reward: 8.974283501505852, rates: 21.97428350150585, loss: 1.665258303284645, rho: 0.4000000000000001
[TRAIN]: (49/1600): reward: 29.650583274662495, rates: 36.650583274662495, loss: 1.8564628124237061, rho: 0.4000000000000001
[TRAIN]: (50/1600): reward: -3.139542579650879, rates: 13.860457420349121, loss: 1.8507132321596145, rho: 0.4000000000000001
[TRAIN]: (51/1600): reward: -17.347939305007458, rates: 0.6520606949925423, loss: 1.871579897403717, rho: 0.4000000000000001
[TRAIN]: (52/1600): reward: -3.240271359682083, rates: 12.759728640317917, loss: 1.8018164217472077, rho: 0.4000000000000001
