[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 66, [(0.0, 0.09375, 0.4), (0.0, 0.6875, 0.4), (1.0, 0.09375, 0.4), (1.0, 0.59375, 0.4), (0.0, 0.46875, 0.4), (0.0, 0.5625, 0.4), (0.0, 0.28125, 0.4), (1.0, 0.6875, 0.4), (0.0, 0.375, 0.4), (0.0, 0.1875, 0.4), (1.0, 0.0625, 0.4), (1.0, 0.5, 0.4), (0.0, 0.4375, 0.4), (1.0, 0.0, 0.4), (0.0, 0.25, 0.4), (1.0, 0.96875, 0.4), (0.0, 0.8125, 0.4), (1.0, 0.25, 0.4), (0.0, 0.125, 0.4), (0.0, 0.65625, 0.4), (1.0, 0.8125, 0.4), (1.0, 0.34375, 0.4), (0.0, 0.0, 0.4), (1.0, 0.1875, 0.4), (1.0, 1.0, 0.4), (0.0, 0.96875, 0.4), (1.0, 0.78125, 0.4), (0.0, 0.15625, 0.4), (1.0, 0.71875, 0.4), (0.0, 0.9375, 0.4), (1.0, 0.375, 0.4), (1.0, 0.40625, 0.4), (0.0, 0.75, 0.4), (0.0, 0.625, 0.4), (0.0, 0.90625, 0.4), (1.0, 0.75, 0.4), (0.0, 0.03125, 0.4), (1.0, 0.53125, 0.4), (0.0, 0.53125, 0.4), (1.0, 0.46875, 0.4), (0.0, 0.875, 0.4), (1.0, 0.03125, 0.4), (1.0, 0.90625, 0.4), (0.0, 1.0, 0.4), (0.0, 0.78125, 0.4), (1.0, 0.21875, 0.4), (0.0, 0.84375, 0.4), (1.0, 0.84375, 0.4), (1.0, 0.3125, 0.4), (1.0, 0.125, 0.4), (0.0, 0.0625, 0.4), (1.0, 0.875, 0.4), (0.0, 0.40625, 0.4), (1.0, 0.15625, 0.4), (0.0, 0.5, 0.4), (0.0, 0.59375, 0.4), (1.0, 0.65625, 0.4), (1.0, 0.28125, 0.4), (1.0, 0.5625, 0.4), (1.0, 0.4375, 0.4), (1.0, 0.9375, 0.4), (1.0, 0.625, 0.4), (0.0, 0.71875, 0.4), (0.0, 0.3125, 0.4), (0.0, 0.34375, 0.4), (0.0, 0.21875, 0.4)]
[ENV]: Finished init Environment
[TRAIN_RISK_AVERSE_DQN]: CUDA: False
[TRAIN]: (1/1600): reward: -8.717289388179779, rate: 0.28271061182022095, loss: 0.0, rho: 0.4
[TRAIN]: (2/1600): reward: -9.610361576080322, rate: 5.389638423919678, loss: 0.0, rho: 0.4
[TRAIN]: (3/1600): reward: -3.1466126441955566, rate: 5.853387355804443, loss: 0.0, rho: 0.4
[TRAIN]: (4/1600): reward: -1.0237278118729591, rate: 8.97627218812704, loss: 0.054401904344558716, rho: 0.4
[TRAIN]: (5/1600): reward: 1.8271222114562988, rate: 9.827122211456299, loss: 0.0169637780636549, rho: 0.4
[TRAIN]: (6/1600): reward: 7.688687205314636, rate: 16.688687205314636, loss: 0.016247861087322235, rho: 0.4
[TRAIN]: (7/1600): reward: -5.355181895196438, rate: 1.6448181048035622, loss: 0.013964635320007801, rho: 0.4
[TRAIN]: (8/1600): reward: -13.0, rate: 0, loss: 0.009629803709685802, rho: 0.4
[TRAIN]: (9/1600): reward: 1.5225377082824707, rate: 8.52253770828247, loss: 0.00823246780782938, rho: 0.4
[TRAIN]: (10/1600): reward: -3.8553967028856277, rate: 5.144603297114372, loss: 0.012299271300435066, rho: 0.4
[TRAIN]: (11/1600): reward: -10.891890101134777, rate: 0.10810989886522293, loss: 0.012724730186164379, rho: 0.4
[TRAIN]: (12/1600): reward: -7.600187301635742, rate: 6.399812698364258, loss: 0.013931283727288246, rho: 0.4
[TRAIN]: (13/1600): reward: -8.849712580442429, rate: 0.1502874195575714, loss: 0.011086052283644676, rho: 0.4
[TRAIN]: (14/1600): reward: 1.7135076522827148, rate: 10.713507652282715, loss: 0.008185111917555332, rho: 0.4
[TRAIN]: (15/1600): reward: -10.0, rate: 0, loss: 0.013167062774300575, rho: 0.4
[TRAIN]: (16/1600): reward: -4.968802839517593, rate: 4.031197160482407, loss: 0.010786641389131546, rho: 0.4
[TRAIN]: (17/1600): reward: -10.165207862854004, rate: 2.834792137145996, loss: 0.013020781800150871, rho: 0.4
[TRAIN]: (18/1600): reward: -9.869374081492424, rate: 0.130625918507576, loss: 0.01281999796628952, rho: 0.4
[TRAIN]: (19/1600): reward: 1.3905720710754395, rate: 11.39057207107544, loss: 0.012421396560966969, rho: 0.4
[TRAIN]: (20/1600): reward: -10.94529901817441, rate: 0.054700981825590134, loss: 0.012567805126309395, rho: 0.4
[TRAIN]: (21/1600): reward: -10.930590972304344, rate: 0.06940902769565582, loss: 0.010023733600974083, rho: 0.4
[TRAIN]: (22/1600): reward: -9.857281118631363, rate: 0.14271888136863708, loss: 0.007782946340739727, rho: 0.4
[TRAIN]: (23/1600): reward: -9.476172685623169, rate: 3.523827314376831, loss: 0.011385572142899036, rho: 0.4
[TRAIN]: (24/1600): reward: -3.731665790081024, rate: 6.268334209918976, loss: 0.013184912502765656, rho: 0.4
[TRAIN]: (25/1600): reward: -15.0, rate: 0, loss: 0.013391089625656605, rho: 0.4
[TRAIN]: (26/1600): reward: -1.4932569488883018, rate: 9.506743051111698, loss: 0.01079096831381321, rho: 0.4
[TRAIN]: (27/1600): reward: -7.517505377531052, rate: 0.48249462246894836, loss: 0.014521872624754906, rho: 0.4
[TRAIN]: (28/1600): reward: -9.0, rate: 0, loss: 0.014717498794198036, rho: 0.4
[TRAIN]: (29/1600): reward: -13.0, rate: 0, loss: 0.007985563017427921, rho: 0.4
[TRAIN]: (30/1600): reward: 10.640913486480713, rate: 19.640913486480713, loss: 0.008610882796347141, rho: 0.4
[TRAIN]: (31/1600): reward: -5.712804306298494, rate: 5.287195693701506, loss: 0.014093977399170399, rho: 0.4
[TRAIN]: (32/1600): reward: -13.0, rate: 0, loss: 0.014235654845833778, rho: 0.4
[TRAIN]: (33/1600): reward: 11.422216165810823, rate: 18.422216165810823, loss: 0.012704789638519287, rho: 0.4
[TRAIN]: (34/1600): reward: 5.037928111851215, rate: 13.037928111851215, loss: 0.01535310409963131, rho: 0.4
[TRAIN]: (35/1600): reward: -10.615718424320221, rate: 0.38428157567977905, loss: 0.02021745592355728, rho: 0.4
[TRAIN]: (36/1600): reward: -7.502409934997559, rate: 5.497590065002441, loss: 0.019659869372844696, rho: 0.4
[TRAIN]: (37/1600): reward: -3.8691707849502563, rate: 7.130829215049744, loss: 0.00846596248447895, rho: 0.4
[TRAIN]: (38/1600): reward: -5.144122123718262, rate: 5.855877876281738, loss: 0.013288551941514015, rho: 0.4
[TRAIN]: (39/1600): reward: 6.375599700957537, rate: 11.375599700957537, loss: 0.014068941585719585, rho: 0.4
[TRAIN]: (40/1600): reward: -10.0, rate: 0, loss: 0.014683124609291553, rho: 0.4
[TRAIN]: (41/1600): reward: 2.0612707138061523, rate: 12.061270713806152, loss: 0.011800146661698818, rho: 0.4
[TRAIN]: (42/1600): reward: -5.742798432707787, rate: 5.257201567292213, loss: 0.009127662517130375, rho: 0.4
[TRAIN]: (43/1600): reward: -10.0, rate: 0, loss: 0.013229059986770153, rho: 0.4
[TRAIN]: (44/1600): reward: -5.535269260406494, rate: 5.464730739593506, loss: 0.01631413772702217, rho: 0.4
[TRAIN]: (45/1600): reward: -10.766943335533142, rate: 0.2330566644668579, loss: 0.013529853895306587, rho: 0.4
[TRAIN]: (46/1600): reward: -9.271571636199951, rate: 5.728428363800049, loss: 0.012136156670749187, rho: 0.4
[TRAIN]: (47/1600): reward: -5.942001819610596, rate: 5.057998180389404, loss: 0.01016009971499443, rho: 0.4
[TRAIN]: (48/1600): reward: 4.732230842113495, rate: 12.732230842113495, loss: 0.012896060943603516, rho: 0.4
[TRAIN]: (49/1600): reward: -12.945326633751392, rate: 0.054673366248607635, loss: 0.014203940518200397, rho: 0.4
[TRAIN]: (50/1600): reward: -14.801794975996017, rate: 0.19820502400398254, loss: 0.010828539729118347, rho: 0.4
[TRAIN]: (51/1600): reward: 0.25006216019392014, rate: 10.25006216019392, loss: 0.011831124313175678, rho: 0.4
[TRAIN]: (52/1600): reward: -8.404914379119873, rate: 5.595085620880127, loss: 0.013959105126559734, rho: 0.4
[TRAIN]: (53/1600): reward: -7.6444172859191895, rate: 1.3555827140808105, loss: 0.011313540861010551, rho: 0.4
[TRAIN]: (54/1600): reward: -9.0, rate: 0, loss: 0.010721879079937935, rho: 0.4
[TRAIN]: (55/1600): reward: 8.621177673339844, rate: 15.621177673339844, loss: 0.009163910523056984, rho: 0.4
[TRAIN]: (56/1600): reward: -9.701155371963978, rate: 0.2988446280360222, loss: 0.010612530633807182, rho: 0.4
[TRAIN]: (57/1600): reward: -9.660488337278366, rate: 0.3395116627216339, loss: 0.011350111104547977, rho: 0.4
[TRAIN]: (58/1600): reward: -9.457718178629875, rate: 0.5422818213701248, loss: 0.010898033156991005, rho: 0.4
[TRAIN]: (59/1600): reward: -4.264907196164131, rate: 5.735092803835869, loss: 0.012190001085400581, rho: 0.4
[TRAIN]: (60/1600): reward: -8.277115106582642, rate: 3.7228848934173584, loss: 0.009188632480800152, rho: 0.4
[TRAIN]: (61/1600): reward: -11.0, rate: 0, loss: 0.01121708657592535, rho: 0.4
[TRAIN]: (62/1600): reward: -9.437773145735264, rate: 3.562226854264736, loss: 0.009698515757918358, rho: 0.4
[TRAIN]: (63/1600): reward: -12.0, rate: 0, loss: 0.010338110849261284, rho: 0.4
[TRAIN]: (64/1600): reward: -11.0, rate: 0, loss: 0.009779778309166431, rho: 0.4
[TRAIN]: (65/1600): reward: -8.634191989898682, rate: 4.365808010101318, loss: 0.012297097593545914, rho: 0.4
