[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 66, [(0.0, 0.09375, 0.4), (0.0, 0.6875, 0.4), (1.0, 0.09375, 0.4), (1.0, 0.59375, 0.4), (0.0, 0.46875, 0.4), (0.0, 0.5625, 0.4), (0.0, 0.28125, 0.4), (1.0, 0.6875, 0.4), (0.0, 0.375, 0.4), (0.0, 0.1875, 0.4), (1.0, 0.0625, 0.4), (1.0, 0.5, 0.4), (0.0, 0.4375, 0.4), (1.0, 0.0, 0.4), (0.0, 0.25, 0.4), (1.0, 0.96875, 0.4), (0.0, 0.8125, 0.4), (1.0, 0.25, 0.4), (0.0, 0.125, 0.4), (0.0, 0.65625, 0.4), (1.0, 0.8125, 0.4), (1.0, 0.34375, 0.4), (0.0, 0.0, 0.4), (1.0, 0.1875, 0.4), (1.0, 1.0, 0.4), (0.0, 0.96875, 0.4), (1.0, 0.78125, 0.4), (0.0, 0.15625, 0.4), (1.0, 0.71875, 0.4), (0.0, 0.9375, 0.4), (1.0, 0.375, 0.4), (1.0, 0.40625, 0.4), (0.0, 0.75, 0.4), (0.0, 0.625, 0.4), (0.0, 0.90625, 0.4), (1.0, 0.75, 0.4), (0.0, 0.03125, 0.4), (1.0, 0.53125, 0.4), (0.0, 0.53125, 0.4), (1.0, 0.46875, 0.4), (0.0, 0.875, 0.4), (1.0, 0.03125, 0.4), (1.0, 0.90625, 0.4), (0.0, 1.0, 0.4), (0.0, 0.78125, 0.4), (1.0, 0.21875, 0.4), (0.0, 0.84375, 0.4), (1.0, 0.84375, 0.4), (1.0, 0.3125, 0.4), (1.0, 0.125, 0.4), (0.0, 0.0625, 0.4), (1.0, 0.875, 0.4), (0.0, 0.40625, 0.4), (1.0, 0.15625, 0.4), (0.0, 0.5, 0.4), (0.0, 0.59375, 0.4), (1.0, 0.65625, 0.4), (1.0, 0.28125, 0.4), (1.0, 0.5625, 0.4), (1.0, 0.4375, 0.4), (1.0, 0.9375, 0.4), (1.0, 0.625, 0.4), (0.0, 0.71875, 0.4), (0.0, 0.3125, 0.4), (0.0, 0.34375, 0.4), (0.0, 0.21875, 0.4)]
[ENV]: Finished init Environment
[TRAIN]: actions: 66, observations: 200
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -104.44376802444458, rates: 0.5562319720580106, loss: 0, rho: 0.4000000000000001
[TRAIN]: (2/1600): reward: -149.51711988449097, rates: 0.48287999388982406, loss: 0, rho: 0.4000000000000001
[TRAIN]: (3/1600): reward: -95.17262899875641, rates: 0.8273709503616792, loss: 0, rho: 0.4000000000000001
[TRAIN]: (4/1600): reward: -80.07138180732727, rates: 3.9286179323500887, loss: 41.47689965192009, rho: 0.4000000000000001
[TRAIN]: (5/1600): reward: -98.05988359451294, rates: 0.9401161844749037, loss: 11.946509838104248, rho: 0.4000000000000001
[TRAIN]: (6/1600): reward: -92.23434269428253, rates: 2.765657310098081, loss: 6.895307624340058, rho: 0.4000000000000001
[TRAIN]: (7/1600): reward: -74.98739612102509, rates: 2.012604204040276, loss: 5.725971472263336, rho: 0.4000000000000001
[TRAIN]: (8/1600): reward: -125.61856842041016, rates: 0.381431811608909, loss: 5.4362621903419495, rho: 0.4000000000000001
[TRAIN]: (9/1600): reward: -52.279994666576385, rates: 2.7200056556825163, loss: 5.446219003200531, rho: 0.4000000000000001
[TRAIN]: (10/1600): reward: -89.19613999128342, rates: 2.803859721054373, loss: 5.641227579116821, rho: 0.4000000000000001
[TRAIN]: (11/1600): reward: -121.8343734741211, rates: 0.16562636961155677, loss: 5.572693681716919, rho: 0.4000000000000001
[TRAIN]: (12/1600): reward: -131.64993971586227, rates: 1.3500603906361202, loss: 5.928863263130188, rho: 0.4000000000000001
[TRAIN]: (13/1600): reward: -88.45188817381859, rates: 0.5481118214843006, loss: 5.43282185792923, rho: 0.4000000000000001
[TRAIN]: (14/1600): reward: -81.58664178848267, rates: 2.4133580031133595, loss: 6.092222952842713, rho: 0.4000000000000001
[TRAIN]: (15/1600): reward: -82.54880857467651, rates: 0.4511914500968084, loss: 5.797652053833008, rho: 0.4000000000000001
[TRAIN]: (16/1600): reward: -89.49640521407127, rates: 1.5035947757988013, loss: 5.255899596214294, rho: 0.4000000000000001
[TRAIN]: (17/1600): reward: -125.18222457170486, rates: 0.817775434660501, loss: 5.355950284004211, rho: 0.4000000000000001
[TRAIN]: (18/1600): reward: -99.29194736480713, rates: 0.708051929600812, loss: 5.768451428413391, rho: 0.4000000000000001
[TRAIN]: (19/1600): reward: -96.20639735460281, rates: 1.793602635625326, loss: 6.125533950328827, rho: 0.4000000000000001
[TRAIN]: (20/1600): reward: -108.25903314352036, rates: 1.7409671351061062, loss: 5.596370029449463, rho: 0.4000000000000001
[TRAIN]: (21/1600): reward: -104.98793005943298, rates: 1.0120699860998457, loss: 6.76473708152771, rho: 0.4000000000000001
[TRAIN]: (22/1600): reward: -100.2257250547409, rates: 0.7742749251094382, loss: 6.277101635932922, rho: 0.4000000000000001
[TRAIN]: (23/1600): reward: -139.71869885921478, rates: 1.2813010004449705, loss: 5.729142642021179, rho: 0.4000000000000001
[TRAIN]: (24/1600): reward: -106.47090101242065, rates: 1.529099298691198, loss: 6.19527393579483, rho: 0.4000000000000001
[TRAIN]: (25/1600): reward: -129.6229591369629, rates: 1.3770409525671825, loss: 6.443887865543365, rho: 0.4000000000000001
[TRAIN]: (26/1600): reward: -116.1458234116435, rates: 1.8541766141066325, loss: 6.258800101280213, rho: 0.4000000000000001
[TRAIN]: (27/1600): reward: -86.776442527771, rates: 0.2235577608127482, loss: 6.857523930072785, rho: 0.4000000000000001
[TRAIN]: (28/1600): reward: -84.37152695655823, rates: 0.6284729339784005, loss: 6.783790957927704, rho: 0.4000000000000001
[TRAIN]: (29/1600): reward: -130.0, rates: 0, loss: 7.0393901586532595, rho: 0.4000000000000001
[TRAIN]: (30/1600): reward: -88.00881683826447, rates: 2.9911831813722145, loss: 5.6142413854599, rho: 0.4000000000000001
[TRAIN]: (31/1600): reward: -111.81034311652184, rates: 1.189656908237528, loss: 6.443910121917725, rho: 0.4000000000000001
[TRAIN]: (32/1600): reward: -130.42636823654175, rates: 0.5736323878338714, loss: 6.151014745235443, rho: 0.4000000000000001
[TRAIN]: (33/1600): reward: -74.90245209634304, rates: 3.0975478901779265, loss: 5.875978279113769, rho: 0.4000000000000001
[TRAIN]: (34/1600): reward: -98.89375513792038, rates: 3.1062444188433087, loss: 6.291722297668457, rho: 0.4000000000000001
[TRAIN]: (35/1600): reward: -109.01788771152496, rates: 0.9821119010299963, loss: 6.001852321624756, rho: 0.4000000000000001
[TRAIN]: (36/1600): reward: -128.6921259574592, rates: 1.3078742062308373, loss: 6.234429347515106, rho: 0.4000000000000001
[TRAIN]: (37/1600): reward: -120.57378208637238, rates: 0.42621788472669875, loss: 5.749343204498291, rho: 0.4000000000000001
[TRAIN]: (38/1600): reward: -114.54574537277222, rates: 0.4542545414726835, loss: 5.617029213905335, rho: 0.4000000000000001
[TRAIN]: (39/1600): reward: -57.098344802856445, rates: 2.901655290870592, loss: 5.60007483959198, rho: 0.4000000000000001
