[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 34, [(0.0, 1.0, 0.4), (1.0, 0.4375, 0.4), (1.0, 0.1875, 0.4), (1.0, 1.0, 0.4), (0.0, 0.125, 0.4), (1.0, 0.75, 0.4), (0.0, 0.0, 0.4), (0.0, 0.25, 0.4), (0.0, 0.625, 0.4), (0.0, 0.4375, 0.4), (0.0, 0.875, 0.4), (1.0, 0.0, 0.4), (1.0, 0.625, 0.4), (1.0, 0.8125, 0.4), (0.0, 0.9375, 0.4), (0.0, 0.75, 0.4), (0.0, 0.8125, 0.4), (1.0, 0.6875, 0.4), (1.0, 0.0625, 0.4), (0.0, 0.0625, 0.4), (1.0, 0.3125, 0.4), (0.0, 0.375, 0.4), (1.0, 0.125, 0.4), (0.0, 0.5, 0.4), (0.0, 0.5625, 0.4), (1.0, 0.25, 0.4), (1.0, 0.5, 0.4), (1.0, 0.375, 0.4), (1.0, 0.875, 0.4), (1.0, 0.5625, 0.4), (0.0, 0.6875, 0.4), (1.0, 0.9375, 0.4), (0.0, 0.3125, 0.4), (0.0, 0.1875, 0.4)]
[ENV]: Finished init Environment
[TRAIN]: actions: 34, observations: 200
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -154.77470688149333, rates: 1.2252931980107777, loss: 0, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 11, P: [0.375, 0.1875, 0.875, 0.0, 0.75, 0.9375, 0.4375, 0.0, 0.3125, 0.0, 0.625, 0.3125, 0.3125, 0.5, 0.3125, 0.0, 0.875, 0.5, 0.1875, 0.5]
[TRAIN]: (2/1600): reward: -69.80943030118942, rates: 1.1905697247983817, loss: 0, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 7, P: [0.125, 0.5, 0.875, 0.875, 0.25, 0.5625, 0.1875, 0.75, 0.9375, 0.6875, 0.9375, 0.3125, 0.3125, 0.125, 0.5625, 0.5625, 0.125, 0.5625, 0.9375, 0.9375]
[TRAIN]: (3/1600): reward: -105.15013086795807, rates: 1.8498692317662477, loss: 0, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 14, P: [0.3125, 0.875, 0.6875, 0.6875, 0.0625, 0.0625, 0.3125, 0.1875, 0.3125, 0.5, 0.0625, 0.8125, 0.9375, 0.3125, 0.5, 0.125, 0.375, 1.0, 0.625, 0.0]
[TRAIN]: (4/1600): reward: -72.22205591201782, rates: 0.7779441008157684, loss: 28.622917511883905, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 9, P: [1.0, 1.0, 0.6875, 0.9375, 0.625, 0.4375, 0.5625, 0.875, 0.5625, 0.8125, 0.0, 0.5, 0.875, 0.3125, 0.5625, 1.0, 0.9375, 0.6875, 0.5625, 0.5625]
[TRAIN]: (5/1600): reward: -96.44961762428284, rates: 2.550382453771975, loss: 5.938270425796508, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 9, P: [0.9375, 0.5625, 0.4375, 0.1875, 0.375, 0.3125, 0.375, 0.0, 0.5625, 0.75, 0.875, 0.25, 0.5, 0.8125, 0.6875, 0.5, 0.6875, 0.5, 0.1875, 0.0625]
[TRAIN]: (6/1600): reward: -113.37050247192383, rates: 0.6294975141484271, loss: 5.9626610517501835, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 10, P: [0.3125, 1.0, 0.875, 0.0625, 0.875, 0.625, 0.25, 0.9375, 0.25, 0.375, 0.5, 0.9375, 0.5625, 0.8125, 0.8125, 0.8125, 0.5, 0.25, 0.8125, 0.375]
[TRAIN]: (7/1600): reward: -84.92812269926071, rates: 1.071877062668753, loss: 5.483796608448029, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 11, P: [0.0625, 0.875, 0.0, 1.0, 0.4375, 0.125, 0.6875, 0.0625, 0.6875, 0.5, 0.0, 0.625, 0.0625, 0.875, 0.9375, 0.6875, 0.25, 0.25, 0.3125, 1.0]
[TRAIN]: (8/1600): reward: -98.67337611783296, rates: 4.326623616327159, loss: 5.705928325653076, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 8, P: [0.5, 0.0, 0.875, 0.4375, 0.25, 0.1875, 0.5625, 0.125, 0.6875, 0.125, 0.0625, 0.125, 0.1875, 0.4375, 0.1875, 0.4375, 0.125, 0.0625, 0.375, 0.5625]
[TRAIN]: (9/1600): reward: -63.23020476102829, rates: 3.769795198414378, loss: 5.219173002243042, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 8, P: [0.0625, 0.8125, 0.0, 0.0625, 0.5, 1.0, 0.4375, 1.0, 0.75, 0.1875, 0.5625, 0.25, 1.0, 0.25, 0.125, 0.0625, 0.1875, 0.0625, 0.6875, 0.625]
[TRAIN]: (10/1600): reward: -117.2120909690857, rates: 0.7879089198885865, loss: 5.580901789665222, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 12, P: [0.125, 0.5625, 1.0, 0.3125, 0.8125, 0.875, 0.125, 0.6875, 0.8125, 0.1875, 0.625, 0.25, 0.4375, 0.0625, 0.3125, 0.875, 0.375, 0.625, 0.125, 0.0]
[TRAIN]: (11/1600): reward: -116.31608414649963, rates: 0.6839159551387792, loss: 6.317959833145141, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 8, P: [0.375, 1.0, 0.6875, 0.8125, 0.0625, 0.5625, 0.9375, 0.0625, 0.375, 0.25, 0.625, 0.125, 0.3125, 0.25, 0.4375, 0.4375, 0.0625, 0.5, 0.75, 0.875]
