[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 34, [(0.0, 1.0, 0.4), (1.0, 0.4375, 0.4), (1.0, 0.1875, 0.4), (1.0, 1.0, 0.4), (0.0, 0.125, 0.4), (1.0, 0.75, 0.4), (0.0, 0.0, 0.4), (0.0, 0.25, 0.4), (0.0, 0.625, 0.4), (0.0, 0.4375, 0.4), (0.0, 0.875, 0.4), (1.0, 0.0, 0.4), (1.0, 0.625, 0.4), (1.0, 0.8125, 0.4), (0.0, 0.9375, 0.4), (0.0, 0.75, 0.4), (0.0, 0.8125, 0.4), (1.0, 0.6875, 0.4), (1.0, 0.0625, 0.4), (0.0, 0.0625, 0.4), (1.0, 0.3125, 0.4), (0.0, 0.375, 0.4), (1.0, 0.125, 0.4), (0.0, 0.5, 0.4), (0.0, 0.5625, 0.4), (1.0, 0.25, 0.4), (1.0, 0.5, 0.4), (1.0, 0.375, 0.4), (1.0, 0.875, 0.4), (1.0, 0.5625, 0.4), (0.0, 0.6875, 0.4), (1.0, 0.9375, 0.4), (0.0, 0.3125, 0.4), (0.0, 0.1875, 0.4)]
[ENV]: Finished init Environment
[TRAIN]: actions: 34, observations: 75
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -74.68581491708755, rates: 1.314185047792604, loss: 0, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 11, P: [0.375, 0.1875, 0.875, 0.0, 0.75, 0.9375, 0.4375, 0.0, 0.3125, 0.0, 0.625, 0.3125, 0.3125, 0.5, 0.3125, 0.0, 0.875, 0.5, 0.1875, 0.5]
[TRAIN]: (2/1600): reward: -33.86950069665909, rates: 1.130499279607738, loss: 0, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 7, P: [0.125, 0.5, 0.875, 0.875, 0.25, 0.5625, 0.1875, 0.75, 0.9375, 0.6875, 0.9375, 0.3125, 0.3125, 0.125, 0.5625, 0.5625, 0.125, 0.5625, 0.9375, 0.9375]
[TRAIN]: (3/1600): reward: -55.81358879804611, rates: 1.1864113558310538, loss: 0, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 14, P: [0.3125, 0.875, 0.6875, 0.6875, 0.0625, 0.0625, 0.3125, 0.1875, 0.3125, 0.5, 0.0625, 0.8125, 0.9375, 0.3125, 0.5, 0.125, 0.375, 1.0, 0.625, 0.0]
[TRAIN]: (4/1600): reward: -37.627662658691406, rates: 0.37233746753371183, loss: 8.442077608669505, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 9, P: [1.0, 1.0, 0.6875, 0.9375, 0.625, 0.4375, 0.5625, 0.875, 0.5625, 0.8125, 0.0, 0.5, 0.875, 0.3125, 0.5625, 1.0, 0.9375, 0.6875, 0.5625, 0.5625]
[TRAIN]: (5/1600): reward: -43.75934799015522, rates: 2.2406518929259676, loss: 3.5714188694953917, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 9, P: [0.9375, 0.5625, 0.4375, 0.1875, 0.375, 0.3125, 0.375, 0.0, 0.5625, 0.75, 0.875, 0.25, 0.5, 0.8125, 0.6875, 0.5, 0.6875, 0.5, 0.1875, 0.0625]
[TRAIN]: (6/1600): reward: -52.93792927265167, rates: 1.062070621234814, loss: 1.9599589288234711, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 10, P: [0.3125, 1.0, 0.875, 0.0625, 0.875, 0.625, 0.25, 0.9375, 0.25, 0.375, 0.5, 0.9375, 0.5625, 0.8125, 0.8125, 0.8125, 0.5, 0.25, 0.8125, 0.375]
[TRAIN]: (7/1600): reward: -41.95931529998779, rates: 1.0406847219029998, loss: 1.5721304535865783, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 11, P: [0.0625, 0.875, 0.0, 1.0, 0.4375, 0.125, 0.6875, 0.0625, 0.6875, 0.5, 0.0, 0.625, 0.0625, 0.875, 0.9375, 0.6875, 0.25, 0.25, 0.3125, 1.0]
[TRAIN]: (8/1600): reward: -45.510317862033844, rates: 4.489682052298179, loss: 1.6253177791833877, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 8, P: [0.5, 0.0, 0.875, 0.4375, 0.25, 0.1875, 0.5625, 0.125, 0.6875, 0.125, 0.0625, 0.125, 0.1875, 0.4375, 0.1875, 0.4375, 0.125, 0.0625, 0.375, 0.5625]
[TRAIN]: (9/1600): reward: -27.9290509223938, rates: 5.0709491232151365, loss: 1.6186496794223786, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 8, P: [0.0625, 0.8125, 0.0, 0.0625, 0.5, 1.0, 0.4375, 1.0, 0.75, 0.1875, 0.5625, 0.25, 1.0, 0.25, 0.125, 0.0625, 0.1875, 0.0625, 0.6875, 0.625]
[TRAIN]: (10/1600): reward: -58.64200496673584, rates: 0.35799509061165363, loss: 1.6474953830242156, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 12, P: [0.125, 0.5625, 1.0, 0.3125, 0.8125, 0.875, 0.125, 0.6875, 0.8125, 0.1875, 0.625, 0.25, 0.4375, 0.0625, 0.3125, 0.875, 0.375, 0.625, 0.125, 0.0]
[TRAIN]: (11/1600): reward: -58.36016488075256, rates: 0.63983515123379, loss: 1.7358781814575195, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 8, P: [0.375, 1.0, 0.6875, 0.8125, 0.0625, 0.5625, 0.9375, 0.0625, 0.375, 0.25, 0.625, 0.125, 0.3125, 0.25, 0.4375, 0.4375, 0.0625, 0.5, 0.75, 0.875]
