[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 34
[ENV]: Finished init Environment
[TRAIN]: actions: 34, observations: 80
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -69.85943502187729, rates: 3.140565037534711, loss: 0, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 11, P: [0.375, 0.1875, 0.875, 0.0, 0.75, 0.9375, 0.4375, 0.0, 0.3125, 0.0, 0.625, 0.3125, 0.3125, 0.5, 0.3125, 0.0, 0.875, 0.5, 0.1875, 0.5]
[TRAIN]: (2/1600): reward: -63.79496318101883, rates: 1.2050368619802663, loss: 0, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 7, P: [0.125, 0.5, 0.875, 0.875, 0.25, 0.5625, 0.1875, 0.75, 0.9375, 0.6875, 0.9375, 0.3125, 0.3125, 0.125, 0.5625, 0.5625, 0.125, 0.5625, 0.9375, 0.9375]
[TRAIN]: (3/1600): reward: -41.023212134838104, rates: 3.9767878632051166, loss: 0, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 14, P: [0.3125, 0.875, 0.6875, 0.6875, 0.0625, 0.0625, 0.3125, 0.1875, 0.3125, 0.5, 0.0625, 0.8125, 0.9375, 0.3125, 0.5, 0.125, 0.375, 1.0, 0.625, 0.0]
[TRAIN]: (4/1600): reward: -53.50065052509308, rates: 1.4993493310921882, loss: 9.15202382031609, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 9, P: [1.0, 1.0, 0.6875, 0.9375, 0.625, 0.4375, 0.5625, 0.875, 0.5625, 0.8125, 0.0, 0.5, 0.875, 0.3125, 0.5625, 1.0, 0.9375, 0.6875, 0.5625, 0.5625]
[TRAIN]: (5/1600): reward: -64.87033461034298, rates: 3.12966517976867, loss: 4.257042765617371, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 9, P: [0.9375, 0.5625, 0.4375, 0.1875, 0.375, 0.3125, 0.375, 0.0, 0.5625, 0.75, 0.875, 0.25, 0.5, 0.8125, 0.6875, 0.5, 0.6875, 0.5, 0.1875, 0.0625]
[TRAIN]: (6/1600): reward: -69.32975029945374, rates: 1.6702495713945253, loss: 2.1704257309436796, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 10, P: [0.3125, 1.0, 0.875, 0.0625, 0.875, 0.625, 0.25, 0.9375, 0.25, 0.375, 0.5, 0.9375, 0.5625, 0.8125, 0.8125, 0.8125, 0.5, 0.25, 0.8125, 0.375]
[TRAIN]: (7/1600): reward: -59.48468744754791, rates: 1.515312496328613, loss: 1.4854005753993988, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 11, P: [0.0625, 0.875, 0.0, 1.0, 0.4375, 0.125, 0.6875, 0.0625, 0.6875, 0.5, 0.0, 0.625, 0.0625, 0.875, 0.9375, 0.6875, 0.25, 0.25, 0.3125, 1.0]
[TRAIN]: (8/1600): reward: -59.88579052686691, rates: 4.114209282658003, loss: 1.4357589602470398, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 8, P: [0.5, 0.0, 0.875, 0.4375, 0.25, 0.1875, 0.5625, 0.125, 0.6875, 0.125, 0.0625, 0.125, 0.1875, 0.4375, 0.1875, 0.4375, 0.125, 0.0625, 0.375, 0.5625]
[TRAIN]: (9/1600): reward: -55.64845595508814, rates: 4.351544070750621, loss: 1.0144263535737992, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 8, P: [0.0625, 0.8125, 0.0, 0.0625, 0.5, 1.0, 0.4375, 1.0, 0.75, 0.1875, 0.5625, 0.25, 1.0, 0.25, 0.125, 0.0625, 0.1875, 0.0625, 0.6875, 0.625]
[TRAIN]: (10/1600): reward: -74.91775357723236, rates: 1.082246404426615, loss: 1.0758853077888488, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 12, P: [0.125, 0.5625, 1.0, 0.3125, 0.8125, 0.875, 0.125, 0.6875, 0.8125, 0.1875, 0.625, 0.25, 0.4375, 0.0625, 0.3125, 0.875, 0.375, 0.625, 0.125, 0.0]
[TRAIN]: (11/1600): reward: -66.26895785331726, rates: 2.7310421276824774, loss: 1.125508613884449, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 8, P: [0.375, 1.0, 0.6875, 0.8125, 0.0625, 0.5625, 0.9375, 0.0625, 0.375, 0.25, 0.625, 0.125, 0.3125, 0.25, 0.4375, 0.4375, 0.0625, 0.5, 0.75, 0.875]
